week_ending,show,run_start_week
1985-06-09,42nd Street,1980-08-18
1985-06-09,A Chorus Line,1975-07-25
1985-06-09,Aren't We All?,1985-04-29
1985-06-09,Arms and the Man,1985-05-30
1985-06-09,As Is,1985-05-01
1985-06-09,Big River,1985-04-25
1985-06-09,Biloxi Blues,1985-03-28
1985-06-09,Brighton Beach Memoirs,1983-03-27
1985-06-09,Cats,1982-10-07
1985-06-09,Doubles,1985-05-08
1985-06-09,Grind,1985-04-16
1985-06-09,La Cage aux Folles,1983-08-09
1985-06-09,Leader of the Pack,1985-02-21
1985-06-09,Oh! Calcutta!,1976-09-24
1985-06-09,Singin' in the Rain,1985-06-13
1985-06-09,Sunday in the Park with George,1984-04-02
1985-06-09,The King and I,1984-12-26
1985-06-09,The Odd Couple,1985-06-04
1985-06-09,The Tap Dance Kid,1983-11-16
