tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
151.510,HR_151.510,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.510_151.510,none,Hart Ranges,151.51,,,
C04a,GR_C04,Rangifer tarandus,,2002-01-20 06:59:00.000,,,,f,caribou,collar,,,,,,,,unknown,C04_C04a,none,Graham,,,,
C03,GR_C03,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,C03_C03,none,Graham,,,,
151.805,HR_151.805,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.805_151.805,none,Hart Ranges,151.805,,,
151.760,HR_151.760,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.760_151.760,none,Hart Ranges,151.76,,,
151.720,HR_151.720,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.720_151.720,none,Hart Ranges,151.72,,,
C18,GR_C18,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,C18_C18,none,Graham,,,,
car120,KE_car120,Rangifer tarandus,,2011-03-18 06:59:00.000,,,,f,caribou,collar,,,,,,,,removal,car120_car120,none,Kennedy,148.08,,,
car118,KE_car118,Rangifer tarandus,,2010-03-04 06:59:00.000,time/place of death based on Telemetry. cod Unknown,,,f,caribou,collar,55.2605437686485,-122.640490214846,,,,,,dead,car118_car118,none,Kennedy,148.367,,,
151.579,HR_151.579,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.579_151.579,none,Hart Ranges,151.579,,,
C13,GR_C13,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,C13_C13,none,Graham,,,,
151.744,HR_151.744,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.744_151.744,none,Hart Ranges,151.744,,,
GC13,GR_GC13,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC13_GC13,none,Graham,,,,
C06a,GR_C06,Rangifer tarandus,,2002-01-20 06:59:00.000,,,,f,caribou,collar,,,,,,,,unknown,C06_C06a,none,Graham,,,,
151.535,HR_151.535,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.535_151.535,none,Hart Ranges,151.535,,,
151.600,HR_151.600,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.600_151.600,none,Hart Ranges,151.6,,,
C08a,GR_C08,Rangifer tarandus,,2001-12-31 06:59:00.000,,,,f,caribou,collar,,,,,,,,unknown,C08_C08a,none,Graham,,,,
GC08,GR_GC08,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC08_GC08,none,Graham,,,,
152.641,HR_152.641,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,152.641_152.641,none,Hart Ranges,152.641,,,
151.660,HR_151.660,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.660_151.660,none,Hart Ranges,151.66,,,
151.735,HR_151.735,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.735_151.735,none,Hart Ranges,151.735,,,
C20,GR_C20,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,C20_C20,none,Graham,,,,
151.550,HR_151.550,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.550_151.550,none,Hart Ranges,151.55,,,
151.775,HR_151.775,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.775_151.775,none,Hart Ranges,151.775,,,
C05a,GR_C05,Rangifer tarandus,,2002-02-25 06:59:00.000,,,,f,caribou,collar,,,,,,,,unknown,C05_C05a,none,Graham,,,,
151.680,HR_151.680,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.680_151.680,none,Hart Ranges,151.68,,,
C14,GR_C14,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,C14_C14,none,Graham,,,,
C07,GR_C07,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,C07_C07,none,Graham,,,,
GC17,GR_GC17,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC17_GC17,none,Graham,,,,
151.620,HR_151.620,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.620_151.620,none,Hart Ranges,151.62,,,
GC07,GR_GC07,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC07_GC07,none,Graham,,,,
151.499,HR_151.499,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.499_151.499,none,Hart Ranges,151.499,,,
GC15,GR_GC15,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC15_GC15,none,Graham,,,,
GC22,GR_GC22,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,GC22_GC22,none,Graham,,,,
151.785,HR_151.785,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.785_151.785,none,Hart Ranges,151.785,,,
151.570,HR_151.570,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,151.570_151.570,none,Hart Ranges,151.57,,,
CG06,GR_CG06,Rangifer tarandus,,,,,,f,caribou,collar,,,,,,,,unknown,CG06_CG06,none,Graham,,,,
