isbn	title	author	rating_eb	scaled_eb	scaled_norm
0001642146	The Children of Primrose Lane	Noel Streatfeild	3.9639877957393166	2.9822012216105778	2.741314428858665
000171287X	The Berenstains' B Book	Stan Berenstain, Jan Berenstain	4.18042300388307	3.4521754112448373	3.3469560504747577
0001713221	Are You My Mother?	P.D. Eastman	4.1855839070351575	3.4633819579868637	3.360777965417965
0001713272	The Bike Lesson	Stan Berenstain, Jan Berenstain	4.175129438939238	3.440680798533298	3.332860563151101
0001840266	The Four Seasons of Brambly Hedge	Jill Barklem	4.476934016822377	4.096028711356842	4.1649549329661495
0001843052	The House in the Square	Joan G. Robinson, Shirley Hughes (Author) (Illustrator)	4.009966542993929	3.082040913436654	2.8412005622671366
0001955071	Mog the Forgetful Cat	Judith Kerr	4.314438307259523	3.743180438306353	3.730304836453607
0001983806	Pookie Believes in Santa Claus	Ivy L. Wallace	4.086369671208557	3.2479450589596994	3.0504629110732053
000222027X	How Mrs. Claus Saves Christmas!	Bill Templeton, Wes Chapman (Illustrator), Michael Wilkins (Editor)	4.0274943118746505	3.12010125974751	2.883324476354476
0006014791	The Fatal Lozenge	Edward Gorey	4.1697892654655035	3.429084978600167	3.3176530708785683
0006608728	The Winter Bear	Ruth Craft, Erik Blegvad (Illustrator)	4.070700139718207	3.2139197475176062	3.0021022079277038
0006627749	Mog in the Dark	Judith Kerr	3.9377722373288764	2.925275937016525	2.6781034520069507
0006639208	Patrick	Quentin Blake	4.033944135838813	3.1341066095094012	2.898801163890435
0006640613	The Tiger Who Came to Tea	Judith Kerr	4.250326794522522	3.60396669160029	3.5442655959929277
0006645941	The Truth About Cats.	Alan Snow	3.9304135347809153	2.9092970198320316	2.657770680627136
0006645984	Sea Story: Primrose and Wilfred Sail to Sandy Bay	Jill Barklem	4.257761369076494	3.6201103596349196	3.568544877699207
0006646905	I'm Not Your Friend	Sam McBratney, Kim Lewis (Illustrator)	3.9402251227158627	2.9306022091692925	2.684545078184728
0006724167	The Midnight Folk	John Masefield	3.8205018722475925	2.670631393414431	2.4176422857545687
0006724442	The Darkangel	Meredith Ann Pierce	3.901546631176165	2.8466145212438994	2.595709662701325
0006737234	Gordon the Goat	Munro Leaf	4.13039248684451	3.3435375796099622	3.202840545316867
0006916201	Six Cousins At Mistletoe Farm	Enid Blyton	4.122403399197832	3.326189824478687	3.1793527792948164
0006932045	The Mystery of Holly Lane	Enid Blyton	4.02259735487859	3.1094678539553766	2.8703473457798285
000710653X	Charmed Life	Diana Wynne Jones	3.968120106078629	2.9911742497037963	2.752690717070973
0007121733	The Tricksters	Margaret Mahy	3.9944192776962737	3.0482810946347083	2.808539966683532
0007149697	Goodbye Mog	Judith Kerr	4.308233824350417	3.729707829795404	3.7081444147310516
0007150342	How to Catch a Star	Oliver Jeffers (Author)	4.2001962281974	3.4951116098110675	3.40163068159568
0007150369	Lost and Found	Oliver Jeffers (Author)	4.351431920832968	3.823509529446069	3.821502234479536
0007158475	Fox in Socks	Dr. Seuss	4.073606398952139	3.220230489841133	3.009460438292965
0007158491	Hop On Pop	Dr. Seuss	3.9827794376231602	3.0230059813444505	2.7834629134474067
0007158505	The Sneetches and Other Stories	Dr. Seuss	4.312755031571493	3.739525320757792	3.7246391202973017
0007158513	I Can Read With My Eyes Shut!	Dr. Seuss	4.198484717193767	3.491395181213886	3.3948398849972587
0007169892	Marvin K. Mooney Will You Please Go Now!	Dr. Seuss	3.9660624224404186	2.986706131005894	2.7463857212302383
0007169914	Mr. Brown Can Moo! Can You?	Dr. Seuss	4.119335485430967	3.3195280604393873	3.165571884021055
0007169922	And to Think That I Saw It on Mulberry Street	Dr. Seuss	4.002825408041122	3.0665344293424153	2.8233241639057
0007169949	If I Ran the Zoo	Dr. Seuss	3.8756222391647026	2.7903214844878113	2.5358430335437006
0007169957	There's a Wocket in My Pocket!	Dr. Seuss	4.033737337458995	3.133657561030616	2.8976580219343657
0007169965	Scrambled Eggs Super!	Dr. Seuss	3.8193899087324374	2.6682168410113363	2.415255074894532
0007169973	Ten Apples Up On Top!	Theo LeSieg (Pseudonym), Dr. Seuss, Roy McKie (Illustrator)	4.126957524829691	3.33607879550924	3.191159846618703
0007171358	Mog's Christmas	Judith Kerr	4.2323723703044145	3.5649798925271456	3.4916761656373683
0007173040	How the Grinch Stole Christmas!	Dr. Seuss	4.3649911987039545	3.852952570086712	3.8701956772700314
000717313X	I Wish That I Had Duck Feet	Theo LeSieg, Dr. Seuss, Barney Tobey (Illustrator)	4.162840366039049	3.413995920748596	3.2955896553298096
0007173156	Oh, the Thinks You Can Think!	Dr. Seuss	4.134240895423856	3.351894134529892	3.2147786709966453
0007173687	One Fish, Two Fish, Red Fish, Blue Fish	Dr. Seuss (Reader)	4.139420661995246	3.363141641891386	3.2346524418530156
0007174160	A Bear Called Paddington	Michael Bond, Peggy Fortnum (Illustrator)	4.227084021031594	3.553496605286994	3.475601969257271
0007175159	I Had Trouble In Getting To Solla Sollew	Dr. Seuss	4.203853265496216	3.503052615138776	3.4121418124194367
0007175191	Horton Hatches the Egg	Dr. Seuss	4.168072308404553	3.425356724263557	3.3122524700416864
0007175221	Oh Say Can You Say?	Dr. Seuss	4.019808331300665	3.1034116808070817	2.862957687718552
0007177631	Smith of Wootton Major	J.R.R. Tolkien, Derek Jacobi (Narrator)	3.9085703925558435	2.86186613668535	2.612254946539081
0007182295	The Great Paper Caper	Oliver Jeffers (Author)	4.022870835689294	3.1100616987530576	2.8709257868770592
