animal_id	studbook_id	name	taxonomic_code	species	sex	birth_date	birth_type	litter_size	death_date	mother_id	mother_name	mother_taxonomic_code	mother_species	mother_birth_date	father_id	father_name	father_taxonomic_code	father_species	father_birth_date
0001	NA	White-Tail	OGG	Northern greater galago	F	1959-01-28	NA	NA	1966-10-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0002	NA	Bruiser	OGG	Northern greater galago	M	1959-01-28	wild	NA	1963-01-01	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0003	NA	George	OGG	Northern greater galago	M	1960-07-01	captive	1	1960-07-07	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0002	Bruiser	OGG	Northern greater galago	1959-01-28
0004	NA	Tigger	OGG	Northern greater galago	M	1962-04-14	captive	1	1968-03-21	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0002	Bruiser	OGG	Northern greater galago	1959-01-28
0005	NA	Kanga	OGG	Northern greater galago	M	1961-08-25	captive	1	1977-02-07	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0002	Bruiser	OGG	Northern greater galago	1959-01-28
0006	NA	Roo	OGG	Northern greater galago	F	1961-03-17	captive	1	1974-10-15	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0002	Bruiser	OGG	Northern greater galago	1959-01-28
0007	NA	Hermit	OGG	Northern greater galago	M	1959-01-28	wild	NA	1966-08-14	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0008	NA	Piglette	OGG	Northern greater galago	F	1962-07-30	captive	1	1967-12-14	0006	Roo	OGG	Northern greater galago	1961-03-17	0007	Hermit	OGG	Northern greater galago	1959-01-28
0009	NA	Pooh Bear	OGG	Northern greater galago	M	1963-09-30	captive	1	1974-02-13	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0007	Hermit	OGG	Northern greater galago	1959-01-28
0010	NA	Eeyore	OGG	Northern greater galago	M	1964-05-20	captive	1	1977-11-02	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0007	Hermit	OGG	Northern greater galago	1959-01-28
0011	NA	Rabbit	OGG	Northern greater galago	M	1964-10-29	captive	1	1969-06-12	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0007	Hermit	OGG	Northern greater galago	1959-01-28
0012	NA	Heffalump	OGG	Northern greater galago	M	1965-05-10	captive	1	1968-12-12	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0007	Hermit	OGG	Northern greater galago	1959-01-28
0013	NA	Christopher Robin	OGG	Northern greater galago	M	1965-12-30	captive	1	1972-03-01	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0007	Hermit	OGG	Northern greater galago	1959-01-28
