Latin_Abbreviation,S_N_All_Historic,S_N_M_Historic,S_N_F_Historic,S_N_ND_Historic,S_N_All_CaptiveBorn,S_N_M_CaptiveBorn,S_N_F_CaptiveBorn,S_N_All_WildBorn,S_N_M_WildBorn,S_N_F_WildBorn,S_N_All_CurrentResident,S_N_M_CurrentResident,S_N_F_CurrentResident,S_N_All_DLCBorn_Infant,S_N_M_DLCBorn_Infant,S_N_F_DLCBorn_Infant,S_N_ND_DLCBorn_Infant,R_Ratio_MtoF_DLCBirths,S_N_All_DLCBorn_Litter,R_Mean_LitterSize,R_MostCommon_LitterSize,R_Freq_MostCommon_LitterSize,R_Min_LitterSize,R_Max_LitterSize,R_Expected_Gestation_d,R_Range_Gestation_d,R_Pattern_Breeding,R_Peak_Breeding_Month,R_Peak_Breeding_Season,R_Peak_Birth_Month,R_Peak_Birth_Season,R_Min_Dam_AgeAtConcep_y,R_Min_Sire_AgeAtConcep_y,R_Max_Dam_AgeAtConcep_y,R_Max_Sire_AgeAtConcep_y,R_Active_DLCBreeding,S_N_All_AdultsWeighed,M_Mean_All_AdultWeight_g,M_Min_All_AdultWeight_g,M_Max_All_AdultWeight_g,S_N_M_AdultsWeighed,M_Mean_M_AdultWeight_g,M_Min_M_AdultWeight_g,M_Max_M_AdultWeight_g,S_N_F_AdultsWeighed,M_Mean_F_AdultWeight_g,M_Min_F_AdultWeight_g,M_Max_F_AdultWeight_g,S_N_All_NeonatesWeighed,M_Mean_All_NeonateWeight_g,M_Min_All_NeonateWeight_g,M_Max_All_NeonateWeight_g,S_N_M_NeonatesWeighed,M_Mean_M_NeonateWeight_g,M_Min_M_NeonateWeight_g,M_Max_M_NeonateWeight_g,S_N_F_NeonatesWeighed,M_Mean_F_NeonateWeight_g,M_Min_F_NeonateWeight_g,M_Max_F_NeonateWeight_g,S_N_All_YngAdltsWeighed,M_Mean_All_YngAdultWeight_g,M_Min_All_YngAdultWeight_g,M_Max_All_YngAdultWeight_g,S_N_M_YngAdultsWeighed,M_Mean_M_YngAdultWeight_g,M_Min_M_YngAdultWeight_g,M_Max_M_YngAdultWeight_g,S_N_F_YngAdultsWeighed,M_Mean_F_YngAdultWeight_g,M_Min_F_YngAdultWeight_g,M_Max_F_YngAdultWeight_g,L_Max_All_Age_y,L_Max_M_Age_y,L_Max_F_Age_y,L_Median_All_Longevity_gt30d_y,L_Median_M_Longevity_gt30d_y,L_Median_F_Longevity_gt30d_y,S_N_All_Survival_gt30d,S_N_M_Survival_gt30d,S_N_F_Survival_gt30d,L_Pct_All_InfMort_lt30d,L_Pct_M_InfMort_lt30d,L_Pct_F_InfMort_lt30d,L_Pct_ND_InfMort_lt30d,S_N_All_InfMort_lt30d,S_N_M_InfMort_lt30d,S_N_F_InfMort_lt30d,S_N_ND_InfMort_lt30d,O_NocturnalOrDiurnal,O_N_All_Biosample_Individuals
CMED,259,126,102,31,255,124,100,4,2,2,22,13,9,233,114,90,29,1.266666667,107,2.177570093,2,0.401869159,1,5,62,59-65,S, 5,4.5.6, 7,6.7.8,0.794520548,1.797260274,14.84109589,16.10410959,Y,123,237.6045745,144.0666667,332.02,73,232.724744,144.0666667,332.02,50,244.7291272,191.8604651,323.5,24,13.2125,8,21,15,13.3,8,21,9,13.06666667,8,18,62,237.2103628,128.3333333,337,28,235.3128049,128.3333333,334,34,238.7730576,159,337,29.62191781,29.62191781,25.17534247,15.07369697,13.41140086,16.83893689,189,108,81,0.291845494,0.157894737,0.233333333,1,68,18,21,29,N,55
DMAD,51,24,26,1,44,21,22,7,3,4,9,2,7,29,12,17,,0.705882353,29,1,1,1,1,1,165,157-172,NS, 0,0, 0,0,4.219178082,3.660273973,26.03287671,30.03561644,Y,18,2690.066628,2265,2999.08631,8,2646.758315,2265,2956.666667,10,2724.713278,2329.287879,2999.08631,28,106.5517857,68.5,136,11,110.0636364,97,136,17,104.2794118,68.5,131.5,25,2588.445994,1771.666667,2880.121951,13,2530.69755,1771.666667,2880.121951,12,2651.006808,2446.25,2852.142857,35.2,32.63561644,35.2,25.10417543,20.74695058,27.46629942,44,21,23,0.103448276,0.083333333,0.117647059,,3,1,2,,N,39
EALB,40,20,18,2,32,16,14,6,3,3,,,,28,13,13,2,1,17,1.647058824,"1,2",0.470588235,1,4,120,120-128,S,12,1.12, 4,4.5,2.567123288,2.747945205,11.30684932,16.31232877,N,8,2231.588511,1840.429487,2606,6,2155.00918,1840.429487,2606,2,2461.326503,2335.153005,2587.5,,,,,,,,,,,,,7,2170.291667,1948.375,2528.5,6,2193.673611,1948.375,2528.5,1,2030,2030,2030,34.58630137,27.74520548,34.58630137,17.89600436,15.31167002,20.55358677,34,19,15,0.214285714,0.076923077,0.230769231,1,6,1,3,2,D,5
ECOL,75,40,33,2,69,36,31,6,4,2,5,2,3,61,33,26,2,1.269230769,50,1.22,1,0.78,1,2,123,120-126,S,12,1.11.12, 4,3.4.5,1.635616438,2.512328767,23.19178082,21.20821918,Y,40,2333.605719,1697.222222,2735,25,2321.288744,1697.222222,2735,15,2354.134011,1930.966667,2671.660305,7,62.48571429,27.8,99.1,4,71.4,28,99.1,3,50.6,27.8,73,32,2245.340666,1741.833333,2747.666667,18,2262.500073,1928.5,2669,14,2223.278571,1741.833333,2747.666667,32.61369863,32.35342466,32.61369863,21.11743994,21.75155971,20.16869367,60,33,27,0.245901639,0.212121212,0.230769231,1,15,7,6,2,D,42
ECOR,84,49,32,3,79,47,29,4,2,2,12,7,5,67,40,24,3,1.666666667,55,1.218181818,1,0.781818182,1,2,124,120-126,S,12,1.12, 5,4.5,1.698630137,2.471232877,17.4630137,19.90958904,Y,41,1644.83527,1220.190476,1993,22,1690.214414,1220.190476,1993,19,1592.290997,1308.3,1927.5,7,55.81428571,45.2,69,5,59.5,51,69,2,46.6,45.2,48,29,1550.73188,1212,1796.5,17,1557.981786,1343.333333,1783.333333,12,1540.46118,1212,1796.5,28.82465753,28.82465753,27.42191781,18.70546875,18.70221486,17.40207013,62,37,25,0.328358209,0.3,0.291666667,1,22,12,7,3,D,47
EFLA,89,44,44,1,82,42,39,7,2,5,18,8,10,69,33,36,,0.916666667,66,1.045454545,1,0.954545455,1,2,124,124-130,S,11,11, 3,3,1.578082192,2.646575342,16.87945205,21.12328767,Y,46,2433.891839,2122,2820.411765,27,2362.082034,2122,2638.563218,19,2535.937351,2205,2820.411765,23,78.51086957,55.5,102.5,10,73.66,55.5,90.6,13,82.24230769,68,102.5,46,2227.929624,1963.625,2596.666667,25,2210.666374,2007,2463.333333,21,2248.481112,1963.625,2596.666667,28.93424658,28.93424658,26.92054795,19.56867864,19.56579754,18.37654543,72,39,33,0.231884058,0.151515152,0.305555556,,16,5,11,,D,67
EFUL,69,38,28,3,62,34,25,6,3,3,,,,46,25,18,3,1.388888889,41,1.12195122,1,0.87804878,1,2,120,120-128,S,12,11.12, 4,3.4,1.394520548,1.736986301,19.18082192,19.18082192,N,25,2481.0035,1670,3076.333333,14,2366.778571,1670,3066.25,11,2626.380682,2261,3076.333333,4,73,36,92,2,60.5,36,85,2,85.5,79,92,11,2222.886364,1843.5,2629,7,2192.785714,1843.5,2551,4,2275.5625,1870,2629,35.99726027,34.44931507,35.99726027,18.95595881,17.76230322,20.65796036,57,34,23,0.260869565,0.16,0.277777778,1,12,4,5,3,D,7
EMAC,119,58,53,8,114,56,50,5,2,3,,,,99,50,42,7,1.19047619,72,1.375,1,0.625,1,2,120,120-129,S,11,11.12, 3,3.4,1.484931507,0.731506849,15.69315068,14.7260274,N,37,2466.656879,2084.880952,2867.666667,18,2387.719965,2084.880952,2691.285714,19,2541.439218,2120,2867.666667,6,65.66666667,43.5,83,4,68.5,60,83,2,60,43.5,76.5,28,2366.933929,1966,2873.5,17,2284.029412,1966,2796,11,2495.059091,2060,2873.5,34.47671233,34.47671233,34.34794521,13.76866873,13.56405371,14.70013427,87,47,39,0.323232323,0.22,0.333333333,1,32,11,14,7,D,26
EMON,132,63,67,2,110,53,55,18,8,10,10,7,3,84,43,40,1,1.075,82,1.024390244,1,0.975609756,1,2,127,123-128,S,12,11.12, 4,4.5,1.764383562,2.901369863,23.58082192,19.67123288,Y,62,1549.38599,1301.034091,1892.5,33,1522.885153,1301.034091,1818.192308,29,1579.542115,1377.653846,1892.5,17,60.20882353,40.3,77.5,9,59.06666667,40.3,77.5,8,61.49375,54,71.35,54,1494.072066,1250,1741.25,28,1482.000859,1250,1700.5,26,1507.071828,1264,1741.25,36.2739726,36.2739726,32.15068493,24.46831544,27.02731211,21.34511225,111,55,56,0.238095238,0.186046512,0.275,1,20,8,11,1,D,61
ERUB,30,18,12,,24,15,9,6,3,3,1,,1,22,13,9,,1.444444444,21,1.047619048,1,0.952380952,1,2,120,120-127,S,12,1.11.12, 4,3.4.5,1.775342466,3.695890411,13.15068493,14.29863014,N,17,2190.292421,1770,2464.259259,9,2058.995414,1770,2278.636364,8,2338.001555,2225.404598,2464.259259,4,78.4,70.1,89,3,74.86666667,70.1,84,1,89,89,89,14,2004.266865,1750,2220,7,1958.170635,1750,2214.5,7,2050.363095,1880,2220,33.83561644,32.85205479,33.83561644,16.7656316,14.77573538,20.55690139,22,13,9,0.363636364,0.384615385,0.333333333,,8,5,3,,D,13
ERUF,169,77,86,6,162,73,83,7,4,3,2,1,1,143,64,75,4,0.853333333,132,1.083333333,1,0.916666667,1,2,120,120-128,S,11,11.12, 3,3.4,1.547945205,1.501369863,22.36712329,24.28767123,Y,47,2286.435242,1620,2897,24,2264.033464,1745.454545,2897,23,2309.811011,1620,2801,13,73.13076923,26,94,5,75.7,26,94,8,71.525,43,86.5,28,2063.728741,1682.25,2515,15,2063.016667,1687.25,2452,13,2064.550366,1682.25,2515,32.66575342,32.16164384,32.66575342,20.6616414,20.64608049,20.6644819,131,60,69,0.265734266,0.265625,0.226666667,1,38,17,17,4,D,32
ESAN,22,11,11,,17,9,8,5,2,3,,,,17,9,8,,1.125,16,1.0625,1,0.9375,1,2,120,120-128,S, 1,1.3.12, 5,4.5.6.7,1.610958904,2.02739726,19.27945205,8.42739726,N,17,2111.336978,1840,2493,8,2039.698551,1840,2435.5,9,2175.015579,1963.4,2493,1,93.6,93.6,93.6,1,93.6,93.6,93.6,,,,,14,1941.25119,1720,2195,7,1948.240476,1720,2195,7,1934.261905,1796,2098.833333,32.93972603,27.72054795,32.93972603,20.08809946,18.56929557,20.38327743,21,10,11,0.058823529,0.111111111,,,1,1,,,D,11
EUL,275,136,133,6,274,136,132,,,,,,,246,121,121,4,1,211,1.165876777,1,0.838862559,1,3,120,120-128,S,12,1.11.12, 4,3.4.5,1.005479452,1.597260274,17.69863014,9.646575342,N,62,2417.777722,1793.907692,3360,29,2388.381816,1820.5,3095.5,33,2443.610487,1793.907692,3360,14,80.96428571,42,112,6,86.41666667,64.5,102,8,76.875,42,112,30,2098.083333,1465,2702,16,2080.015625,1465,2702,14,2118.732143,1503,2669,30.55342466,29.26027397,30.55342466,17.13839808,16.52500115,16.85065495,220,114,105,0.207317073,0.173553719,0.214876033,1,51,21,26,4,D,45
GMOH,316,148,132,36,257,123,98,44,16,28,,,,243,117,90,36,1.3,171,1.421052632,1,0.578947368,1,2,124,110-126,NS, 0,0, 0,0,0.397260274,1.024657534,8.484931507,6.630136986,N,21,169.2415247,140.828125,201.1820988,10,179.3825347,149.6969697,201.1820988,11,160.0224247,140.828125,170.2586207,19,12.68947368,9.2,19,10,12.92,10.4,19,8,12.8375,10,16.2,12,143.3763889,123.6,165.6666667,5,149.8166667,133.75,165.6666667,7,138.7761905,123.6,158,16.63835616,16.63835616,14.45205479,6.924545047,6.722999149,7.043146176,221,110,111,0.390946502,0.324786325,0.233333333,1,95,38,21,36,N,53
HGG,62,27,35,,48,22,26,14,5,9,2,1,1,46,20,26,,0.769230769,42,1.095238095,1,0.904761905,1,2,145,145-150,S,12,11.12, 5,4.5.6,1.528767123,3.698630137,16.97534247,15.97534247,N,30,1015.549929,794.0835422,1299.090909,14,1046.859588,910.9885057,1299.090909,16,988.1539766,794.0835422,1292.868056,11,46.25454545,36,57,6,44.3,36,50,5,48.6,36,57,26,1009.712988,697,1237.5,9,1005.789242,697,1156.333333,17,1011.790266,836,1237.5,23.77260274,23.03013699,23.77260274,10.45331983,10.11813342,11.23833005,47,20,27,0.326086957,0.35,0.307692308,,15,7,8,,D,35
