Latin_Abbreviation,S_N_All_Historic,S_N_M_Historic,S_N_F_Historic,S_N_ND_Historic,S_N_All_CaptiveBorn,S_N_M_CaptiveBorn,S_N_F_CaptiveBorn,S_N_All_WildBorn,S_N_M_WildBorn,S_N_F_WildBorn,S_N_All_CurrentResident,S_N_M_CurrentResident,S_N_F_CurrentResident,S_N_All_DLCBorn_Infant,S_N_M_DLCBorn_Infant,S_N_F_DLCBorn_Infant,S_N_ND_DLCBorn_Infant,R_Ratio_MtoF_DLCBirths,S_N_All_DLCBorn_Litter,R_Mean_LitterSize,R_MostCommon_LitterSize,R_Freq_MostCommon_LitterSize,R_Min_LitterSize,R_Max_LitterSize,R_Expected_Gestation_d,R_Range_Gestation_d,R_Pattern_Breeding,R_Peak_Breeding_Month,R_Peak_Breeding_Season,R_Peak_Birth_Month,R_Peak_Birth_Season,R_Min_Dam_AgeAtConcep_y,R_Min_Sire_AgeAtConcep_y,R_Max_Dam_AgeAtConcep_y,R_Max_Sire_AgeAtConcep_y,R_Active_DLCBreeding,S_N_All_AdultsWeighed,M_Mean_All_AdultWeight_g,M_Min_All_AdultWeight_g,M_Max_All_AdultWeight_g,S_N_M_AdultsWeighed,M_Mean_M_AdultWeight_g,M_Min_M_AdultWeight_g,M_Max_M_AdultWeight_g,S_N_F_AdultsWeighed,M_Mean_F_AdultWeight_g,M_Min_F_AdultWeight_g,M_Max_F_AdultWeight_g,S_N_All_NeonatesWeighed,M_Mean_All_NeonateWeight_g,M_Min_All_NeonateWeight_g,M_Max_All_NeonateWeight_g,S_N_M_NeonatesWeighed,M_Mean_M_NeonateWeight_g,M_Min_M_NeonateWeight_g,M_Max_M_NeonateWeight_g,S_N_F_NeonatesWeighed,M_Mean_F_NeonateWeight_g,M_Min_F_NeonateWeight_g,M_Max_F_NeonateWeight_g,S_N_All_YngAdltsWeighed,M_Mean_All_YngAdultWeight_g,M_Min_All_YngAdultWeight_g,M_Max_All_YngAdultWeight_g,S_N_M_YngAdultsWeighed,M_Mean_M_YngAdultWeight_g,M_Min_M_YngAdultWeight_g,M_Max_M_YngAdultWeight_g,S_N_F_YngAdultsWeighed,M_Mean_F_YngAdultWeight_g,M_Min_F_YngAdultWeight_g,M_Max_F_YngAdultWeight_g,L_Max_All_Age_y,L_Max_M_Age_y,L_Max_F_Age_y,L_Median_All_Longevity_gt30d_y,L_Median_M_Longevity_gt30d_y,L_Median_F_Longevity_gt30d_y,S_N_All_Survival_gt30d,S_N_M_Survival_gt30d,S_N_F_Survival_gt30d,L_Pct_All_InfMort_lt30d,L_Pct_M_InfMort_lt30d,L_Pct_F_InfMort_lt30d,L_Pct_ND_InfMort_lt30d,S_N_All_InfMort_lt30d,S_N_M_InfMort_lt30d,S_N_F_InfMort_lt30d,S_N_ND_InfMort_lt30d,O_NocturnalOrDiurnal,O_N_All_Biosample_Individuals
CMED,252,122,99,31,248,120,97,4,2,2,19,11,8,226,110,87,29,1.264367816,102,2.215686275,2,0.401960784,1,5,60,60-64,S, 5,4.5.6, 7,6.7.8,0.8,1.802739726,14.84657534,16.10958904,Y,116,240.9649123,144.0666667,338.5,67,236.309742,144.0666667,337,49,247.3301452,191.8604651,338.5,16,13.4125,8,21,11,13,8,21,5,14.32,10.5,18,55,241.7102187,128.3333333,337,23,242.8440646,128.3333333,334,32,240.8952669,159,337,28.9890411,28.9890411,25.17534247,14.03761918,13.05115094,16.63517672,183,104,79,0.296460177,0.163636364,0.229885057,1,67,18,20,29,N,43
DMAD,44,22,22,,37,19,18,7,3,4,16,6,10,28,12,16,,0.75,28,1,1,1,1,1,165,157-172,NS, 0,0, 0,0,4.219178082,3.660273973,26.03287671,28.46575342,Y,16,2669.19827,2265,2987.238372,7,2603.150986,2265,2884.85728,9,2720.56838,2329.712879,2987.238372,24,109.93125,68.5,136,10,111.37,100.5,136,14,108.9035714,68.5,131.5,23,2575.278602,1771.666667,2852.142857,12,2501.195107,1771.666667,2821.30303,11,2656.09696,2446.25,2852.142857,32.36986301,32.36986301,30.5260274,24.04941715,23.49591351,,40,20,20,0.107142857,0.083333333,0.125,,3,1,2,,N,34
EALB,40,20,18,2,32,16,14,6,3,3,1,,1,28,13,13,2,1,17,1.647058824,"1,2",0.470588235,1,4,120,120-128,S,12,1.12, 4,4.5,2.567123288,2.747945205,11.30684932,16.31232877,N,8,2233.242584,1840.429487,2606,6,2155.00918,1840.429487,2606,2,2467.942797,2348.385593,2587.5,,,,,,,,,,,,,7,2170.291667,1948.375,2528.5,6,2193.673611,1948.375,2528.5,1,2030,2030,2030,34.0739726,27.74520548,34.0739726,17.89600436,15.31167002,23.65481174,34,19,15,0.214285714,0.076923077,0.230769231,1,6,1,3,2,D,5
ECOL,71,38,31,2,65,34,29,6,4,2,4,2,2,59,32,25,2,1.28,48,1.229166667,1,0.770833333,1,2,120,120-128,S,12,1.11.12, 4,3.4.5,1.643835616,2.520547945,23.2,21.21643836,N,38,2336.893991,1697.222222,2735,24,2318.297014,1697.222222,2735,14,2368.774524,1930.966667,2679.027778,4,68.475,27.8,99.1,2,86.55,74,99.1,2,50.4,27.8,73,29,2282.377504,1741.833333,2747.666667,17,2291.62535,1928.5,2669,12,2269.276389,1741.833333,2747.666667,32.61369863,32.10958904,32.61369863,20.71490463,20.71549825,19.7131562,55,31,24,0.254237288,0.21875,0.24,1,15,7,6,2,D,35
ECOR,77,44,29,4,72,42,26,4,2,2,10,5,4,61,35,22,4,1.590909091,49,1.244897959,1,0.755102041,1,2,120,120-126,S, 1,1.12, 5,4.5,1.709589041,2.482191781,17.4739726,19.92054795,Y,34,1645.082438,1220.190476,1993,18,1698.05187,1220.190476,1993,16,1585.491828,1308.3,1927.5,3,48.06666667,45.2,51,1,51,51,51,2,46.6,45.2,48,21,1575.578042,1212,1927.5,12,1597.226852,1343.333333,1927.5,9,1546.712963,1212,1796.166667,27.42191781,26.23835616,27.42191781,18.13898474,17.98465056,17.35622658,54,31,23,0.37704918,0.371428571,0.272727273,1,23,13,6,4,D,34
EFLA,75,39,35,1,68,37,30,7,2,5,15,11,4,57,29,28,,1.035714286,55,1.036363636,1,0.963636364,1,2,120,120-129,S,11,11, 3,3,1.589041096,2.657534247,16.89041096,21.13424658,Y,41,2437.075603,2180.444444,2820.411765,25,2382.839998,2180.444444,2750.840643,16,2521.818737,2205,2820.411765,10,82.65,55.5,102.5,5,76.42,55.5,90.6,5,88.88,73.7,102.5,37,2256.350401,1963.625,2627.142857,21,2210.805195,2007,2463.333333,16,2316.128483,1963.625,2627.142857,24.36986301,24.26027397,24.36986301,18.32682911,17.9649356,17.9818072,56,31,25,0.280701754,0.206896552,0.357142857,,16,6,10,,D,
EFUL,65,37,25,3,58,33,22,6,3,3,,,,44,25,16,3,1.5625,39,1.128205128,1,0.871794872,1,2,120,120-128,S,12,11.12, 4,3.4,1.394520548,1.736986301,19.18082192,19.18082192,N,24,2485.501693,1670,3076.333333,14,2366.778571,1670,3066.25,10,2651.714063,2261,3076.333333,4,73,36,92,2,60.5,36,85,2,85.5,79,92,11,2222.886364,1843.5,2629,7,2192.785714,1843.5,2551,4,2275.5625,1870,2629,35.99726027,34.44931507,35.99726027,18.37861585,17.77261183,20.65092814,53,33,20,0.272727273,0.16,0.3125,1,12,4,5,3,D,7
EMAC,119,58,53,8,114,56,50,5,2,3,3,1,2,99,50,42,7,1.19047619,72,1.375,1,0.625,1,2,120,120-129,S,11,11.12, 3,3.4,1.484931507,0.731506849,15.69315068,14.7260274,N,37,2467.477137,2084.880952,2867.666667,18,2387.381487,2084.880952,2691.285714,19,2543.357226,2120,2867.666667,5,70.1,60,83,4,68.5,60,83,1,76.5,76.5,76.5,28,2366.933929,1966,2873.5,17,2284.029412,1966,2796,11,2495.059091,2060,2873.5,30.22739726,30.22739726,30.20821918,13.76693635,13.05339697,14.70565075,87,47,39,0.323232323,0.22,0.333333333,1,32,11,14,7,D,
EMON,128,61,65,2,106,51,53,18,8,10,13,7,6,80,41,38,1,1.078947368,78,1.025641026,1,0.974358974,1,2,120,120-128,S,12,1.12, 4,4.5,1.783561644,2.920547945,23.6,19.69041096,Y,58,1554.813919,1301.034091,1920,30,1524.525034,1301.034091,1818.192308,28,1587.266296,1386.708333,1920,10,62.28,51.5,77.5,4,63.125,51.5,77.5,6,61.71666667,54,66.6,48,1493.675663,1220,1741.25,23,1484.794696,1220,1700.5,25,1501.846152,1264,1741.25,34.8630137,34.8630137,28.06575342,25.1097308,24.91954684,21.99124106,107,53,54,0.2375,0.195121951,0.263157895,1,19,8,10,1,D,48
ERUB,30,18,12,,24,15,9,6,3,3,6,2,4,22,13,9,,1.444444444,21,1.047619048,1,0.952380952,1,2,120,120-127,S,12,1.11.12, 4,3.4.5,1.775342466,3.695890411,13.15068493,14.29863014,N,17,2191.475017,1770,2506.268817,9,2050.076843,1770,2278.636364,8,2350.547964,2263.019713,2506.268817,3,76.53333333,70.1,89,2,70.3,70.1,70.5,1,89,89,89,14,2004.266865,1750,2220,7,1958.170635,1750,2214.5,7,2050.363095,1880,2220,31.70136986,31.70136986,29.69863014,16.7656316,14.64653414,,22,13,9,0.363636364,0.384615385,0.333333333,,8,5,3,,D,13
