Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
OGG,0001,N,F,WHITE-TAIL,N,,28Jan1959,1,U,Unk,KIBWEZI,,129,21Sep1958,9,,,,,,,,,,,09Oct1966,7.70,,,7.70,11
OGG,0002,N,M,BRUISER,N,,28Jan1959,1,U,WB,KIBWEZI,,129,21Sep1958,9,WILD,,,,,WILD,,,,,01Jan1963,3.93,,,3.93,5
OGG,0003,N,M,GEORGE,N,,01Jul1960,7,,CB,Duke Lemur Center,1,129,23Feb1960,2,0001,WHITE-TAIL,OGG,28Jan1959,1.07,0002,BRUISER,OGG,28Jan1959,1.07,07Jul1960,0.02,,,0.02,
OGG,0004,N,M,TIGGER,N,,14Apr1962,4,,CB,Duke Lemur Center,1,129,06Dec1961,12,0001,WHITE-TAIL,OGG,28Jan1959,2.86,0002,BRUISER,OGG,28Jan1959,2.86,21Mar1968,5.94,,,5.94,
OGG,0005,N,M,KANGA,N,,25Aug1961,8,,CB,Duke Lemur Center,1,129,18Apr1961,4,0001,WHITE-TAIL,OGG,28Jan1959,2.22,0002,BRUISER,OGG,28Jan1959,2.22,07Feb1977,15.47,,,15.47,7
OGG,0006,N,F,ROO,N,,17Mar1961,3,,CB,Duke Lemur Center,1,129,08Nov1960,11,0001,WHITE-TAIL,OGG,28Jan1959,1.78,0002,BRUISER,OGG,28Jan1959,1.78,15Oct1974,13.59,,,13.59,9
OGG,0007,N,M,HERMIT,N,,28Jan1959,1,U,WB,KIBWEZI,,129,21Sep1958,9,WILD,,,,,WILD,,,,,14Aug1966,7.55,,,7.55,7
OGG,0008,N,F,PIGLETTE,N,,30Jul1962,7,,CB,Duke Lemur Center,1,129,23Mar1962,3,0006,ROO,OGG,17Mar1961,1.02,0007,HERMIT,OGG,28Jan1959,3.15,14Dec1967,5.38,,,5.38,1
OGG,0009,N,M,POOH BEAR,N,,30Sep1963,9,,CB,Duke Lemur Center,1,129,24May1963,5,0001,WHITE-TAIL,OGG,28Jan1959,4.32,0007,HERMIT,OGG,28Jan1959,4.32,13Feb1974,10.38,,,10.38,1
OGG,0010,N,M,EEYORE,N,,20May1964,5,,CB,Duke Lemur Center,1,129,12Jan1964,1,0001,WHITE-TAIL,OGG,28Jan1959,4.96,0007,HERMIT,OGG,28Jan1959,4.96,02Nov1977,13.46,,,13.46,7
OGG,0011,N,M,RABBIT,N,,29Oct1964,10,,CB,Duke Lemur Center,1,129,22Jun1964,6,0001,WHITE-TAIL,OGG,28Jan1959,5.40,0007,HERMIT,OGG,28Jan1959,5.40,12Jun1969,4.62,,,4.62,1
OGG,0012,N,M,HEFFALUMP,N,,10May1965,5,,CB,Duke Lemur Center,1,129,01Jan1965,1,0001,WHITE-TAIL,OGG,28Jan1959,5.93,0007,HERMIT,OGG,28Jan1959,5.93,12Dec1968,3.59,,,3.59,
OGG,0013,N,M,CHRISTOPHER ROBIN,N,,30Dec1965,12,,CB,Duke Lemur Center,1,129,23Aug1965,8,0001,WHITE-TAIL,OGG,28Jan1959,6.57,0007,HERMIT,OGG,28Jan1959,6.57,01Mar1972,6.17,,,6.17,2
OGG,0014,N,F,ROOLETTE,N,,27Oct1964,10,,CB,Duke Lemur Center,1,129,20Jun1964,6,0006,ROO,OGG,17Mar1961,3.26,0005,KANGA,OGG,25Aug1961,2.82,,,,14.16,14.16,5
OGG,0015,N,F,WOL,N,,20Jun1965,6,,CB,Duke Lemur Center,1,129,11Feb1965,2,0006,ROO,OGG,17Mar1961,3.91,0005,KANGA,OGG,25Aug1961,3.47,11Nov1971,6.40,,,6.40,4
OGG,0016,N,F,DORIAN GRAY,N,,19May1966,5,,CB,Duke Lemur Center,1,129,10Jan1966,1,0014,ROOLETTE,OGG,27Oct1964,1.21,0011,RABBIT,OGG,29Oct1964,1.20,03Aug1969,3.21,,,3.21,1
OGG,0017,N,F,WOOZLE,N,,08Jun1967,6,,CB,Duke Lemur Center,1,129,30Jan1967,1,0015,WOL,OGG,20Jun1965,1.61,0010,EEYORE,OGG,20May1964,2.70,,,,13.17,13.17,4
OGG,0018,N,M,TIGGER II,N,,29Mar1969,3,,CB,Duke Lemur Center,1,129,20Nov1968,11,0015,WOL,OGG,20Jun1965,3.42,0013,CHRISTOPHER ROBIN,OGG,30Dec1965,2.89,,,,9.74,9.74,1
OGG,0019,N,F,WHITE-TAIL II,N,,20Jul1969,7,,CB,Duke Lemur Center,1,129,13Mar1969,3,0014,ROOLETTE,OGG,27Oct1964,4.38,MULT2,,,,,30Mar1971,1.69,,,1.69,
OGG,0020,N,M,DORIAN GRAY-A,N,,20Jul1969,7,,CB,Duke Lemur Center,1,129,13Mar1969,3,0016,DORIAN GRAY,OGG,19May1966,2.82,MULT2,,,,,02Sep1969,0.12,,,0.12,
OGG,0021,N,M,ARLO,N,,30Dec1969,12,,CB,Duke Lemur Center,1,129,23Aug1969,8,0006,ROO,OGG,17Mar1961,8.44,0250,WOODY,OGG,16Aug1968,1.02,,,,3.81,3.81,
OGG,0022,N,M,WOOZLE-A,N,,11May1970,5,,CB,Duke Lemur Center,1,129,02Jan1970,1,0017,WOOZLE,OGG,08Jun1967,2.57,MULT2,,,,,18May1970,0.02,,,0.02,
OGG,0023,N,F,GRACE,N,,12Sep1970,9,,CB,Duke Lemur Center,1,129,06May1970,5,0014,ROOLETTE,OGG,27Oct1964,5.53,0250,WOODY,OGG,16Aug1968,1.72,,,,8.28,8.28,1
OGG,0024,N,F,GORGON,N,,20Apr1971,4,,CB,Duke Lemur Center,1,129,12Dec1970,12,0017,WOOZLE,OGG,08Jun1967,3.52,0010,EEYORE,OGG,20May1964,6.57,,,,5.39,5.39,1
OGG,0025,N,ND,ROOLETTE-B,N,,05May1971,5,,CB,Duke Lemur Center,1,129,27Dec1970,12,0014,ROOLETTE,OGG,27Oct1964,6.17,0250,WOODY,OGG,16Aug1968,2.36,05May1971,0.00,,,0.00,
OGG,0026,N,M,BARNABY,N,,10Jun1971,6,,CB,Duke Lemur Center,1,129,01Feb1971,2,0015,WOL,OGG,20Jun1965,5.62,MULT2,,,,,07Feb1973,1.67,,,1.67,
OGG,0027,N,M,PHANTOM,N,,05Jul1972,7,,CB,Duke Lemur Center,1,129,27Feb1972,2,0023,GRACE,OGG,12Sep1970,1.46,0018,TIGGER II,OGG,29Mar1969,2.92,28Dec1972,0.48,,,0.48,
OGG,0028,N,F,TOOTSIE,N,,04Oct1972,10,,CB,Duke Lemur Center,1,129,28May1972,5,0017,WOOZLE,OGG,08Jun1967,4.98,0010,EEYORE,OGG,20May1964,8.03,11Jun1973,0.68,,,0.68,
OGG,0029,N,M,HENRY,N,,12Feb1973,2,,CB,Duke Lemur Center,1,129,06Oct1972,10,0024,GORGON,OGG,20Apr1971,1.47,,,,,,,,,9.07,9.07,2
ECOL,0030,N,F,COLETTE,N,157,01Oct1959,10,U,WB,Madagascar /,,123,31May1959,5,WILD,,,,,WILD,,,,,18Apr1965,5.55,,,5.55,2
ECOL,0031,N,M,COLETTE-A,N,176,01Feb1964,2,,CB,Duke Lemur Center,1,123,01Oct1963,10,0030,COLETTE,ECOL,01Oct1959,4.00,520,YVES,ECOL,01Oct1959,4.00,01Feb1964,0.00,,,0.00,
ECOL,0032,N,ND,COLETTE-B,N,192,17Apr1965,4,,CB,Duke Lemur Center,1,123,15Dec1964,12,0030,COLETTE,ECOL,01Oct1959,5.21,520,YVES,ECOL,01Oct1959,5.21,17Apr1965,0.00,,,0.00,
ECOL,0033,N,M,YVETTE-A,N,267,03Feb1969,2,,CB,Duke Lemur Center,1,123,03Oct1968,10,521,YVETTE,ECOL,01Oct1959,9.01,520,YVES,ECOL,01Oct1959,9.01,03Feb1969,0.00,,,0.00,
ECOL,0034,N,ND,YVETTE-H,N,344,02Feb1972,2,,CB,Duke Lemur Center,1,123,02Oct1971,10,521,YVETTE,ECOL,01Oct1959,12.01,520,YVES,ECOL,01Oct1959,12.01,02Feb1972,0.00,,,0.00,
EUL,0035,Sp,M,BATHSHEBA-A,N,354,04Apr1972,4,,CB,Duke Lemur Center,1,120,06Dec1971,12,554,BATHSHEBA,EALB,01Oct1966,5.18,512,KINGMAN BREWSTER,ERUF,01Mar1963,8.77,04Apr1972,0.00,,,0.00,
EUL,0036,Sp,F,SAL-A,N,162,17Mar1962,3,,CB,Duke Lemur Center,1,120,17Nov1961,11,506,SAL,EFUL,01Oct1958,3.13,515,THURBER,ERUF,01Oct1958,3.13,17Mar1962,0.00,,,0.00,
EUL,0037,Sp,F,PUPPET-A,N,171,29Apr1963,4,,CB,Duke Lemur Center,1,120,30Dec1962,12,507,PUPPET,EUL,17Apr1961,1.70,509,POP,EFUL,01Oct1946,16.26,01Jul1963,0.17,,,0.17,
EFUL,0038,N,ND,JOCASTA-A,N,180,25Apr1964,4,,CB,Duke Lemur Center,2,120,27Dec1963,12,504,JOCASTA,EFUL,01Oct1958,5.24,501,PEARDROP,EFUL,01Oct1958,5.24,25Apr1964,0.00,,,0.00,
EFUL,0039,N,ND,JOCASTA-B,N,181,25Apr1964,4,,CB,Duke Lemur Center,2,120,27Dec1963,12,504,JOCASTA,EFUL,01Oct1958,5.24,501,PEARDROP,EFUL,01Oct1958,5.24,25Apr1964,0.00,,,0.00,
