Variable,CMED,DMAD,EALB,ECOL,ECOR,EFLA,EFUL,EMAC,EMON,ERUB,ERUF,ESAN,EUL,GMOH,HGG,LCAT,LTAR,MMUR,MZAZ,NCOU,NPYG,OGG,PCOQ,PPOT,VAR,VRUB,VVV
S_N_All_Historic,       259,        51,        40,        75,        84,        89,        69,       119,       132,        30,       169,        22,       275,       316,        62,       337,        61,       293,       110,        85,        53,       339,       213,        33,        53,       185,       195
S_N_M_Historic,       126,        24,        20,        40,        49,        44,        38,        58,        63,        18,        77,        11,       136,       148,        27,       156,        26,       149,        45,        40,        25,       167,       113,        14,        20,        89,       103
S_N_F_Historic,       102,        26,        18,        33,        32,        44,        28,        53,        67,        12,        86,        11,       133,       132,        35,       163,        27,       129,        52,        44,        25,       142,        90,        13,        32,        90,        84
S_N_ND_Historic,        31,         1,         2,         2,         3,         1,         3,         8,         2,         .,         6,         .,         6,        36,         .,        18,         8,        15,        13,         1,         3,        30,        10,         6,         1,         6,         8
S_N_All_CaptiveBorn,       255,        44,        32,        69,        79,        82,        62,       114,       110,        24,       162,        17,       274,       257,        48,       333,        54,       276,       104,        59,        42,       293,       197,        20,        53,       175,       186
S_N_M_CaptiveBorn,       124,        21,        16,        36,        47,        42,        34,        56,        53,        15,        73,         9,       136,       123,        22,       154,        23,       145,        42,        30,        20,       145,       106,         9,        20,        84,       100
S_N_F_CaptiveBorn,       100,        22,        14,        31,        29,        39,        25,        50,        55,         9,        83,         8,       132,        98,        26,       161,        23,       116,        49,        28,        19,       118,        81,         5,        32,        85,        78
S_N_All_WildBorn,         4,         7,         6,         6,         4,         7,         6,         5,        18,         6,         7,         5,         .,        44,        14,         2,         7,        17,         6,        17,        11,        17,        16,        10,         .,         9,         9
S_N_M_WildBorn,         2,         3,         3,         4,         2,         2,         3,         2,         8,         3,         4,         2,         .,        16,         5,         1,         3,         4,         3,         8,         5,         9,         7,         4,         .,         4,         3
S_N_F_WildBorn,         2,         4,         3,         2,         2,         5,         3,         3,        10,         3,         3,         3,         .,        28,         9,         1,         4,        13,         3,         9,         6,         8,         9,         6,         .,         5,         6
S_N_All_CurrentResident,        22,         9,         .,         5,        12,        18,         .,         .,        10,         1,         2,         .,         .,         .,         2,        33,         .,        44,         .,         1,         1,         .,        31,         .,         .,        13,        10
S_N_M_CurrentResident,        13,         2,         .,         2,         7,         8,         .,         .,         7,         .,         1,         .,         .,         .,         1,        11,         .,        24,         .,         .,         .,         .,        13,         .,         .,         7,         5
S_N_F_CurrentResident,         9,         7,         .,         3,         5,        10,         .,         .,         3,         1,         1,         .,         .,         .,         1,        22,         .,        20,         .,         1,         1,         .,        18,         .,         .,         6,         5
S_N_All_DLCBorn_Infant,       233,        29,        28,        61,        67,        69,        46,        99,        84,        22,       143,        17,       246,       243,        46,       304,        50,       240,        93,        43,        33,       234,       125,        16,        52,       141,       159
S_N_M_DLCBorn_Infant,       114,        12,        13,        33,        40,        33,        25,        50,        43,        13,        64,         9,       121,       117,        20,       135,        20,       122,        36,        19,        17,       117,        63,         8,        20,        67,        84
S_N_F_DLCBorn_Infant,        90,        17,        13,        26,        24,        36,        18,        42,        40,         9,        75,         8,       121,        90,        26,       151,        22,       103,        44,        23,        13,        87,        58,         2,        31,        69,        67
S_N_ND_DLCBorn_Infant,        29,         .,         2,         2,         3,         .,         3,         7,         1,         .,         4,         .,         4,        36,         .,        18,         8,        15,        13,         1,         3,        30,         4,         6,         1,         5,         8
R_Ratio_MtoF_DLCBirths,     1.267,     0.706,     1.000,     1.269,     1.667,     0.917,     1.389,     1.190,     1.075,     1.444,     0.853,     1.125,     1.000,     1.300,     0.769,     0.894,     0.909,     1.184,     0.818,     0.826,     1.308,     1.345,     1.086,     4.000,     0.645,     0.971,     1.254
S_N_All_DLCBorn_Litter,       107,        29,        17,        50,        55,        66,        41,        72,        82,        21,       132,        16,       211,       171,        42,       232,        49,       105,        59,        43,        19,       210,       125,        16,        26,        64,        83
R_Mean_LitterSize,      2.18,      1.00,      1.65,      1.22,      1.22,      1.05,      1.12,      1.38,      1.02,      1.05,      1.08,      1.06,      1.17,      1.42,      1.10,      1.31,      1.02,      2.29,      1.58,      1.00,      1.74,      1.10,      1.00,      1.00,      2.00,      2.20,      1.92
R_MostCommon_LitterSize,         2,         1,"        1,2",         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         3,         2,         1,         2,         1,         1,         1,         2,         3,         2
R_Freq_MostCommon_LitterSize,      0.40,      1.00,      0.47,      0.78,      0.78,      0.95,      0.88,      0.63,      0.98,      0.95,      0.92,      0.94,      0.84,      0.58,      0.90,      0.70,      0.98,      0.39,      0.58,      1.00,      0.63,      0.90,      1.00,      1.00,      0.46,      0.38,      0.45
R_Min_LitterSize,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
R_Max_LitterSize,         5,         1,         4,         2,         2,         2,         2,         2,         2,         2,         2,         2,         3,         2,         2,         3,         2,         4,         2,         1,         3,         2,         1,         1,         3,         4,         4
R_Expected_Gestation_d,        62,       165,       120,       123,       124,       124,       120,       120,       127,       120,       120,       120,       120,       124,       145,       138,       167,        63,        90,       193,       185,       129,       160,       170,        98,       103,       104
R_Range_Gestation_d,       59-65,      157-172,      120-128,      120-126,      120-126,      124-130,      120-128,      120-129,      123-128,      120-127,      120-128,      120-128,      120-128,      110-126,      145-150,      130-142,      150-169,       60-64,       89-90,      185-197,      183-198,      126-134,      155-168,      170-172,       98-102,       98-107,       98-107
R_Pattern_Breeding,         S,         NS,         S,         S,         S,         S,         S,         S,         S,         S,         S,         S,         S,         NS,         S,         S,         NS,         S,         NS,         NS,         NS,         NS,         S,         NS,         S,         S,         S
R_Peak_Breeding_Month,         5,         0,         12,         12,         12,         11,         12,         11,         12,         12,         11,         1,         12,         0,         12,         11,         0,         4,         0,         0,         0,         0,         8,         0,         1,         1,         1
R_Peak_Breeding_Season,       4.5.6,         0,        1.12,      1.11.12,        1.12,         11,       11.12,       11.12,       11.12,      1.11.12,       11.12,       1.3.12,      1.11.12,         0,       11.12,       10.11,         0,       4.5.6,         0,         0,         0,         0,       7.8.9,         0,       1.2.12,         1,       1.2.12
R_Peak_Birth_Month,         7,         0,         4,         4,         5,         3,         4,         3,         4,         4,         3,         5,         4,         0,         5,         3,         0,         6,         0,         0,         0,         0,         1,         0,         4,         4,         4
R_Peak_Birth_Season,       6.7.8,         0,        4.5,       3.4.5,        4.5,         3,        3.4,        3.4,        4.5,       3.4.5,        3.4,      4.5.6.7,       3.4.5,         0,       4.5.6,        3.4,         0,       6.7.8,         0,         0,         0,         0,       1.2.12,         0,        4.5,        4.5,        4.5
R_Min_Dam_AgeAtConcep_y,      0.79,      4.22,      2.57,      1.64,      1.70,      1.58,      1.39,      1.48,      1.76,      1.78,      1.55,      1.61,      1.01,      0.40,      1.53,      1.32,      0.99,      0.59,      0.82,      1.33,      1.87,      0.59,      2.64,      2.16,      1.64,      1.65,      1.59
R_Min_Sire_AgeAtConcep_y,      1.80,      3.66,      2.75,      2.51,      2.47,      2.65,      1.74,      0.73,      2.90,      3.70,      1.50,      2.03,      1.60,      1.02,      3.70,      1.64,      1.04,      0.59,      1.41,      1.28,      3.74,      0.76,      2.60,      3.15,       .,      1.77,      2.66
R_Max_Dam_AgeAtConcep_y,     14.84,     26.03,     11.31,     23.19,     17.46,     16.88,     19.18,     15.69,     23.58,     13.15,     22.37,     19.28,     17.70,      8.48,     16.98,     21.68,     13.38,     13.31,     12.84,      8.16,     11.35,     14.65,     22.36,     17.63,      6.73,     24.25,     23.40
R_Max_Sire_AgeAtConcep_y,     16.10,     30.04,     16.31,     21.21,     19.91,     21.12,     19.18,     14.73,     19.67,     14.30,     24.29,      8.43,      9.65,      6.63,     15.98,     29.51,     11.64,      9.46,     13.70,     14.86,     11.56,     10.84,     29.76,     13.63,       .,     33.36,     31.82
R_Active_DLCBreeding,         Y,         Y,         N,         Y,         Y,         Y,         N,         N,         Y,         N,         Y,         N,         N,         N,         N,         Y,         N,         Y,         N,         N,         Y,         N,         Y,         N,         N,         Y,         Y
S_N_All_AdultsWeighed,       123,        18,         8,        40,        41,        46,        25,        37,        62,        17,        47,        17,        62,        21,        30,       134,        29,       172,        65,        51,        23,        66,        58,        13,         6,        82,        55
M_Mean_All_AdultWeight_g,    237.60,   2690.07,   2231.59,   2333.61,   1644.84,   2433.89,   2481.00,   2466.66,   1549.39,   2190.29,   2286.44,   2111.34,   2417.78,    169.24,   1015.55,   2448.91,    184.91,     82.61,    302.42,   1159.88,    499.53,   1059.21,   4028.75,    917.82,   3336.21,   3633.49,   3509.23
M_Min_All_AdultWeight_g,    144.07,   2265.00,   1840.43,   1697.22,   1220.19,   2122.00,   1670.00,   2084.88,   1301.03,   1770.00,   1620.00,   1840.00,   1793.91,    140.83,    794.08,   1888.76,    152.00,     56.50,    250.68,    807.67,    357.20,    729.00,   3003.17,    761.90,   2815.00,   2710.50,   2903.25
M_Max_All_AdultWeight_g,    332.02,   2999.09,   2606.00,   2735.00,   1993.00,   2820.41,   3076.33,   2867.67,   1892.50,   2464.26,   2897.00,   2493.00,   3360.00,    201.18,   1299.09,   3028.00,    219.65,    116.38,    357.88,   1506.07,    631.98,   1335.00,   5444.61,   1139.50,   3913.00,   4301.25,   4209.67
S_N_M_AdultsWeighed,        73,         8,         6,        25,        22,        27,        14,        18,        33,         9,        24,         8,        29,        10,        14,        70,        14,        94,        32,        27,        11,        34,        31,         8,         2,        36,        31
M_Mean_M_AdultWeight_g,    232.72,   2646.76,   2155.01,   2321.29,   1690.21,   2362.08,   2366.78,   2387.72,   1522.89,   2059.00,   2264.03,   2039.70,   2388.38,    179.38,   1046.86,   2540.56,    185.71,     80.50,    298.31,   1144.39,    518.95,   1137.08,   3892.49,    943.99,   3364.00,   3621.17,   3473.62
M_Min_M_AdultWeight_g,    144.07,   2265.00,   1840.43,   1697.22,   1220.19,   2122.00,   1670.00,   2084.88,   1301.03,   1770.00,   1745.45,   1840.00,   1820.50,    149.70,    910.99,   2092.68,    152.00,     56.50,    250.68,    807.67,    405.56,    908.67,   3233.03,    768.74,   2815.00,   3128.50,   2903.25
M_Max_M_AdultWeight_g,    332.02,   2956.67,   2606.00,   2735.00,   1993.00,   2638.56,   3066.25,   2691.29,   1818.19,   2278.64,   2897.00,   2435.50,   3095.50,    201.18,   1299.09,   3028.00,    219.65,    116.38,    345.50,   1506.07,    630.64,   1304.13,   4751.31,   1139.50,   3913.00,   4220.00,   4129.29
S_N_F_AdultsWeighed,        50,        10,         2,        15,        19,        19,        11,        19,        29,         8,        23,         9,        33,        11,        16,        64,        15,        78,        33,        24,        12,        32,        27,         5,         4,        46,        24
M_Mean_F_AdultWeight_g,    244.73,   2724.71,   2461.33,   2354.13,   1592.29,   2535.94,   2626.38,   2541.44,   1579.54,   2338.00,   2309.81,   2175.02,   2443.61,    160.02,    988.15,   2348.66,    184.17,     85.16,    306.41,   1177.31,    481.73,    976.48,   4185.18,    875.94,   3322.31,   3643.13,   3555.23
M_Min_F_AdultWeight_g,    191.86,   2329.29,   2335.15,   1930.97,   1308.30,   2205.00,   2261.00,   2120.00,   1377.65,   2225.40,   1620.00,   1963.40,   1793.91,    140.83,    794.08,   1888.76,    159.57,     57.00,    261.73,    846.86,    357.20,    729.00,   3003.17,    761.90,   3154.25,   2710.50,   2935.33
M_Max_F_AdultWeight_g,    323.50,   2999.09,   2587.50,   2671.66,   1927.50,   2820.41,   3076.33,   2867.67,   1892.50,   2464.26,   2801.00,   2493.00,   3360.00,    170.26,   1292.87,   3015.82,    219.00,    115.00,    357.88,   1489.83,    631.98,   1335.00,   5444.61,   1118.00,   3529.00,   4301.25,   4209.67
S_N_All_NeonatesWeighed,        24,        28,         .,         7,         7,        23,         4,         6,        17,         4,        13,         1,        14,        19,        11,        62,         6,         8,         6,        16,        22,        19,        70,         4,         6,        34,        26
M_Mean_All_NeonateWeight_g,     13.21,    106.55,       .,     62.49,     55.81,     78.51,     73.00,     65.67,     60.21,     78.40,     73.13,     93.60,     80.96,     12.69,     46.25,     63.67,     11.53,      6.96,     15.88,     51.18,     24.28,     48.59,    105.64,     32.45,    105.67,    110.90,    106.63
M_Min_All_NeonateWeight_g,      8.00,     68.50,       .,     27.80,     45.20,     55.50,     36.00,     43.50,     40.30,     70.10,     26.00,     93.60,     42.00,      9.20,     36.00,     34.50,      8.00,      5.40,     13.50,     40.00,     10.98,     40.00,     73.00,     21.20,     74.00,     68.00,     68.00
M_Max_All_NeonateWeight_g,     21.00,    136.00,       .,     99.10,     69.00,    102.50,     92.00,     83.00,     77.50,     89.00,     94.00,     93.60,    112.00,     19.00,     57.00,    101.00,     14.50,     10.00,     19.90,     65.00,     32.25,     56.50,    131.50,     43.60,    139.00,    155.50,    137.00
S_N_M_NeonatesWeighed,        15,        11,         .,         4,         5,        10,         2,         4,         9,         3,         5,         1,         6,        10,         6,        24,         2,         6,         2,         7,        14,        12,        31,         4,         1,        16,        20
M_Mean_M_NeonateWeight_g,     13.30,    110.06,       .,     71.40,     59.50,     73.66,     60.50,     68.50,     59.07,     74.87,     75.70,     93.60,     86.42,     12.92,     44.30,     64.80,     12.25,      6.72,     15.10,     50.64,     24.29,     48.94,    106.04,     32.45,     93.00,    111.44,    104.54
M_Min_M_NeonateWeight_g,      8.00,     97.00,       .,     28.00,     51.00,     55.50,     36.00,     60.00,     40.30,     70.10,     26.00,     93.60,     64.50,     10.40,     36.00,     34.50,     10.00,      5.50,     13.70,     40.00,     16.50,     41.40,     73.00,     21.20,     93.00,     82.00,     68.00
M_Max_M_NeonateWeight_g,     21.00,    136.00,       .,     99.10,     69.00,     90.60,     85.00,     83.00,     77.50,     84.00,     94.00,     93.60,    102.00,     19.00,     50.00,    101.00,     14.50,      9.00,     16.50,     62.50,     30.50,     56.50,    124.00,     43.60,     93.00,    155.50,    129.50
S_N_F_NeonatesWeighed,         9,        17,         .,         3,         2,        13,         2,         2,         8,         1,         8,         .,         8,         8,         5,        37,         4,         2,         4,         9,         7,         7,        39,         .,         5,        18,         6
