Variable,CMED,DMAD,EALB,ECOL,ECOR,EFLA,EFUL,EMAC,EMON,ERUB,ERUF,ESAN,EUL,GMOH,HGG,LCAT,LTAR,MMUR,MZAZ,NCOU,NPYG,OGG,PCOQ,PPOT,VAR,VRUB,VVV
S_N_All_Historic,       252,        44,        40,        71,        77,        75,        65,       119,       128,        30,       170,        22,       274,       324,        62,       330,        61,       277,       110,        85,        49,       339,       176,        33,        50,       173,       191
S_N_M_Historic,       122,        22,        20,        38,        44,        39,        37,        58,        61,        18,        77,        11,       135,       152,        27,       155,        26,       141,        45,        40,        23,       167,        94,        14,        18,        80,       102
S_N_F_Historic,        99,        22,        18,        31,        29,        35,        25,        53,        65,        12,        86,        11,       133,       136,        35,       157,        27,       122,        52,        44,        23,       142,        76,        13,        31,        86,        81
S_N_ND_Historic,        31,         .,         2,         2,         4,         1,         3,         8,         2,         .,         7,         .,         6,        36,         .,        18,         8,        14,        13,         1,         3,        30,         6,         6,         1,         7,         8
S_N_All_CaptiveBorn,       248,        37,        32,        65,        72,        68,        58,       114,       106,        24,       163,        17,       273,       265,        48,       326,        54,       260,       104,        59,        38,       293,       160,        20,        50,       163,       182
S_N_M_CaptiveBorn,       120,        19,        16,        34,        42,        37,        33,        56,        51,        15,        73,         9,       135,       127,        22,       153,        23,       137,        42,        30,        18,       145,        87,         9,        18,        75,        99
S_N_F_CaptiveBorn,        97,        18,        14,        29,        26,        30,        22,        50,        53,         9,        83,         8,       132,       102,        26,       155,        23,       109,        49,        28,        17,       118,        67,         5,        31,        81,        75
S_N_All_WildBorn,         4,         7,         6,         6,         4,         7,         6,         5,        18,         6,         7,         5,         .,        44,        14,         2,         7,        17,         6,        17,        11,        17,        16,        10,         .,         9,         9
S_N_M_WildBorn,         2,         3,         3,         4,         2,         2,         3,         2,         8,         3,         4,         2,         .,        16,         5,         1,         3,         4,         3,         8,         5,         9,         7,         4,         .,         4,         3
S_N_F_WildBorn,         2,         4,         3,         2,         2,         5,         3,         3,        10,         3,         3,         3,         .,        28,         9,         1,         4,        13,         3,         9,         6,         8,         9,         6,         .,         5,         6
S_N_All_CurrentResident,        19,        16,         1,         4,        10,        15,         .,         3,        13,         6,         2,         1,         4,         .,         3,        35,         1,        48,         .,         1,         7,         .,        31,         .,         .,        15,        10
S_N_M_CurrentResident,        11,         6,         .,         2,         5,        11,         .,         1,         7,         2,         1,         .,         3,         .,         1,        15,         .,        24,         .,         .,         4,         .,        15,         .,         .,         7,         7
S_N_F_CurrentResident,         8,        10,         1,         2,         4,         4,         .,         2,         6,         4,         1,         1,         1,         .,         2,        20,         1,        24,         .,         1,         3,         .,        16,         .,         .,         8,         3
S_N_All_DLCBorn_Infant,       226,        28,        28,        59,        61,        57,        44,        99,        80,        22,       144,        17,       245,       251,        46,       297,        50,       225,        93,        43,        31,       234,       108,        16,        49,       131,       158
S_N_M_DLCBorn_Infant,       110,        12,        13,        32,        35,        29,        25,        50,        41,        13,        65,         9,       120,       121,        20,       134,        20,       114,        36,        19,        17,       117,        56,         8,        18,        61,        84
S_N_F_DLCBorn_Infant,        87,        16,        13,        25,        22,        28,        16,        42,        38,         9,        75,         8,       121,        94,        26,       145,        22,        97,        44,        23,        11,        87,        48,         2,        30,        65,        66
S_N_ND_DLCBorn_Infant,        29,         .,         2,         2,         4,         .,         3,         7,         1,         .,         4,         .,         4,        36,         .,        18,         8,        14,        13,         1,         3,        30,         4,         6,         1,         5,         8
R_Ratio_MtoF_DLCBirths,     1.264,     0.750,     1.000,     1.280,     1.591,     1.036,     1.563,     1.190,     1.079,     1.444,     0.867,     1.125,     0.992,     1.287,     0.769,     0.924,     0.909,     1.175,     0.818,     0.826,     1.545,     1.345,     1.167,     4.000,     0.600,     0.938,     1.273
S_N_All_DLCBorn_Litter,       102,        28,        17,        48,        49,        55,        39,        72,        78,        21,       133,        16,       209,       174,        42,       229,        49,        97,        59,        43,        18,       212,       108,        16,        24,        59,        83
R_Mean_LitterSize,      2.22,      1.00,      1.65,      1.23,      1.24,      1.04,      1.13,      1.38,      1.03,      1.05,      1.08,      1.06,      1.17,      1.44,      1.10,      1.30,      1.02,      2.32,      1.58,      1.00,      1.72,      1.10,      1.00,      1.00,      2.04,      2.22,      1.90
R_MostCommon_LitterSize,         2,         1,"        1,2",         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         3,         2,         1,         2,         1,         1,         1,         2,"        2,3",         2
R_Freq_MostCommon_LitterSize,      0.40,      1.00,      0.47,      0.77,      0.76,      0.96,      0.87,      0.63,      0.97,      0.95,      0.92,      0.94,      0.83,      0.56,      0.90,      0.71,      0.98,      0.39,      0.58,      1.00,      0.61,      0.90,      1.00,      1.00,      0.46,      0.37,      0.43
R_Min_LitterSize,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
R_Max_LitterSize,         5,         1,         4,         2,         2,         2,         2,         2,         2,         2,         2,         2,         3,         2,         2,         3,         2,         4,         2,         1,         3,         2,         1,         1,         3,         4,         4
R_Expected_Gestation_d,        60,       165,       120,       120,       120,       120,       120,       120,       120,       120,       120,       120,       120,       124,       145,       130,       167,        60,        90,       193,       185,       129,       160,       170,        98,        98,        98
R_Range_Gestation_d,       60-64,      157-172,      120-128,      120-128,      120-126,      120-129,      120-128,      120-129,      120-128,      120-127,      120-128,      120-128,      120-128,      110-126,      145-150,      130-136,      150-169,       57-63,       89-90,      185-197,      183-198,      126-134,      155-168,      170-172,       98-102,       98-102,       98-102
R_Pattern_Breeding,         S,         NS,         S,         S,         S,         S,         S,         S,         S,         S,         S,         S,         S,         NS,         S,         S,         NS,         S,         NS,         NS,         NS,         NS,         S,         NS,         S,         S,         S
R_Peak_Breeding_Month,         5,         0,         12,         12,         1,         11,         12,         11,         12,         12,         11,         1,         12,         0,         12,         11,         0,         4,         0,         0,         0,         0,         9,         0,         1,         1,         1
R_Peak_Breeding_Season,       4.5.6,         0,        1.12,      1.11.12,        1.12,         11,       11.12,       11.12,        1.12,      1.11.12,       11.12,       1.3.12,      1.11.12,         0,       11.12,         11,         0,      4.5.6.7,         0,         0,         0,         0,       7.8.9,         0,       1.2.12,        1.2,       1.2.12
R_Peak_Birth_Month,         7,         0,         4,         4,         5,         3,         4,         3,         4,         4,         3,         5,         4,         0,         5,         3,         0,         6,         0,         0,         0,         0,         2,         0,         4,         4,         4
R_Peak_Birth_Season,       6.7.8,         0,        4.5,       3.4.5,        4.5,         3,        3.4,        3.4,        4.5,       3.4.5,        3.4,      4.5.6.7,       3.4.5,         0,       4.5.6,        3.4,         0,       6.7.8,         0,         0,         0,         0,      1.2.3.12,         0,        4.5,        4.5,        4.5
R_Min_Dam_AgeAtConcep_y,      0.80,      4.22,      2.57,      1.64,      1.71,      1.59,      1.39,      1.48,      1.78,      1.78,      1.55,      1.61,      1.01,      0.40,      1.53,      1.34,      0.99,      0.60,      0.82,      1.33,      1.87,      0.59,      2.64,      2.16,      1.64,      1.67,      1.61
R_Min_Sire_AgeAtConcep_y,      1.80,      3.66,      2.75,      2.52,      2.48,      2.66,      1.74,      0.73,      2.92,      3.70,      1.50,      2.03,      1.60,      1.02,      3.70,      1.66,      1.04,      0.60,      1.41,      1.28,      3.74,      0.76,      2.60,      3.15,       .,      1.79,      2.68
R_Max_Dam_AgeAtConcep_y,     14.85,     26.03,     11.31,     23.20,     17.47,     16.89,     19.18,     15.69,     23.60,     13.15,     22.37,     19.28,     17.70,      8.48,     16.98,     21.70,     13.38,     13.32,     12.84,      8.16,     11.35,     14.65,     20.40,     17.63,      6.73,     24.26,     23.41
R_Max_Sire_AgeAtConcep_y,     16.11,     28.47,     16.31,     21.22,     19.92,     21.13,     19.18,     14.73,     19.69,     14.30,     24.29,      8.43,      9.65,      6.63,     15.98,     29.53,     11.63,      9.47,     13.70,     14.86,     11.56,     10.84,     29.76,     13.63,       .,     21.79,     31.84
R_Active_DLCBreeding,         Y,         Y,         N,         N,         Y,         Y,         N,         N,         Y,         N,         N,         N,         N,         N,         N,         Y,         N,         Y,         N,         N,         Y,         N,         Y,         N,         N,         Y,         Y
S_N_All_AdultsWeighed,       116,        16,         8,        38,        34,        41,        24,        37,        58,        17,        47,        17,        62,        21,        30,       120,        29,       158,        65,        51,        21,        66,        44,        13,         6,        74,        49
M_Mean_All_AdultWeight_g,    240.96,   2669.20,   2233.24,   2336.89,   1645.08,   2437.08,   2485.50,   2467.48,   1554.81,   2191.48,   2285.43,   2111.87,   2417.95,    169.25,   1012.49,   2454.66,    185.64,     82.65,    302.41,   1168.49,    487.02,   1059.21,   3982.55,    919.86,   3336.21,   3601.30,   3492.32
M_Min_All_AdultWeight_g,    144.07,   2265.00,   1840.43,   1697.22,   1220.19,   2180.44,   1670.00,   2084.88,   1301.03,   1770.00,   1620.00,   1840.00,   1793.91,    140.83,    794.08,   1873.49,    152.00,     56.50,    250.68,    807.67,    357.20,    729.00,   3003.17,    768.74,   2815.00,   2710.50,   2903.25
M_Max_All_AdultWeight_g,    338.50,   2987.24,   2606.00,   2735.00,   1993.00,   2820.41,   3076.33,   2867.67,   1920.00,   2506.27,   2897.00,   2493.00,   3360.00,    201.18,   1292.87,   3049.16,    220.50,    118.00,    357.88,   1506.07,    612.67,   1335.00,   4939.49,   1139.50,   3913.00,   4200.00,   4206.49
S_N_M_AdultsWeighed,        67,         7,         6,        24,        18,        25,        14,        18,        30,         9,        24,         8,        29,        10,        13,        66,        14,        85,        32,        27,         9,        34,        24,         8,         2,        32,        27
M_Mean_M_AdultWeight_g,    236.31,   2603.15,   2155.01,   2318.30,   1698.05,   2382.84,   2366.78,   2387.38,   1524.53,   2050.08,   2262.57,   2039.70,   2388.04,    179.38,   1022.57,   2543.22,    185.72,     79.82,    298.30,   1144.36,    495.96,   1137.08,   3896.12,    943.99,   3364.00,   3586.68,   3450.73
M_Min_M_AdultWeight_g,    144.07,   2265.00,   1840.43,   1697.22,   1220.19,   2180.44,   1670.00,   2084.88,   1301.03,   1770.00,   1745.45,   1840.00,   1820.50,    149.70,    910.99,   2092.68,    152.00,     56.50,    250.68,    807.67,    405.56,    908.67,   3233.03,    768.74,   2815.00,   3128.50,   2903.25
M_Max_M_AdultWeight_g,    337.00,   2884.86,   2606.00,   2735.00,   1993.00,   2750.84,   3066.25,   2691.29,   1818.19,   2278.64,   2897.00,   2435.50,   3095.50,    201.18,   1240.00,   3049.16,    219.65,    112.50,    345.50,   1506.07,    556.86,   1304.13,   4751.31,   1139.50,   3913.00,   4200.00,   4129.29
S_N_F_AdultsWeighed,        49,         9,         2,        14,        16,        16,        10,        19,        28,         8,        23,         9,        33,        11,        17,        54,        15,        73,        33,        24,        12,        32,        20,         5,         4,        42,        22
M_Mean_F_AdultWeight_g,    247.33,   2720.57,   2467.94,   2368.77,   1585.49,   2521.82,   2651.71,   2543.36,   1587.27,   2350.55,   2309.28,   2176.03,   2444.23,    160.04,   1004.77,   2346.42,    185.57,     85.93,    306.41,   1195.63,    480.31,    976.48,   4086.26,    881.26,   3322.31,   3612.43,   3543.37
M_Min_F_AdultWeight_g,    191.86,   2329.71,   2348.39,   1930.97,   1308.30,   2205.00,   2261.00,   2120.00,   1386.71,   2263.02,   1620.00,   1963.40,   1793.91,    140.83,    794.08,   1873.49,    160.61,     57.00,    261.73,    856.75,    357.20,    729.00,   3003.17,    777.96,   3154.25,   2710.50,   2935.33
M_Max_F_AdultWeight_g,    338.50,   2987.24,   2587.50,   2679.03,   1927.50,   2820.41,   3076.33,   2867.67,   1920.00,   2506.27,   2801.00,   2493.00,   3360.00,    170.26,   1292.87,   2935.50,    220.50,    118.00,    357.88,   1489.83,    612.67,   1335.00,   4939.49,   1118.00,   3529.00,   4152.96,   4206.49
S_N_All_NeonatesWeighed,        16,        24,         .,         4,         3,        10,         4,         5,        10,         3,        11,         1,        11,        16,         7,        47,         6,         7,         5,        16,        15,        19,        54,         2,         3,        24,        21
M_Mean_All_NeonateWeight_g,     13.41,    109.93,       .,     68.48,     48.07,     82.65,     73.00,     70.10,     62.28,     76.53,     77.06,     93.60,     87.73,     12.37,     50.40,     65.08,     11.53,      8.11,     16.36,     51.18,     25.70,     48.59,    106.86,     38.30,    120.00,    109.73,    107.17
M_Min_All_NeonateWeight_g,      8.00,     68.50,       .,     27.80,     45.20,     55.50,     36.00,     60.00,     51.50,     70.10,     43.00,     93.60,     70.00,      7.70,     46.00,     34.50,      8.00,      5.40,     13.70,     40.00,     16.50,     40.00,     84.50,     33.00,     98.00,     68.00,     68.00
M_Max_All_NeonateWeight_g,     21.00,    136.00,       .,     99.10,     51.00,    102.50,     92.00,     83.00,     77.50,     89.00,     94.00,     93.60,    112.00,     19.00,     57.00,     90.00,     14.50,     12.70,     19.90,     65.00,     32.25,     56.50,    131.50,     43.60,    139.00,    135.50,    137.00
S_N_M_NeonatesWeighed,        11,        10,         .,         2,         1,         5,         2,         4,         4,         2,         4,         1,         5,         8,         3,        20,         2,         4,         2,         7,        11,        12,        25,         2,         .,        10,        17
M_Mean_M_NeonateWeight_g,     13.00,    111.37,       .,     86.55,     51.00,     76.42,     60.50,     68.50,     63.13,     70.30,     88.13,     93.60,     90.80,     12.73,     48.60,     64.21,     12.25,      7.18,     15.10,     50.64,     24.52,     48.94,    107.03,     38.30,       .,    108.15,    106.18
M_Min_M_NeonateWeight_g,      8.00,    100.50,       .,     74.00,     51.00,     55.50,     36.00,     60.00,     51.50,     70.10,     83.00,     93.60,     77.00,      7.70,     47.80,     34.50,     10.00,      5.50,     13.70,     40.00,     16.50,     41.40,     84.50,     33.00,       .,     88.00,     68.00
M_Max_M_NeonateWeight_g,     21.00,    136.00,       .,     99.10,     51.00,     90.60,     85.00,     83.00,     77.50,     70.50,     94.00,     93.60,    102.00,     19.00,     50.00,     90.00,     14.50,      9.00,     16.50,     62.50,     30.50,     56.50,    124.00,     43.60,       .,    128.00,    129.50
S_N_F_NeonatesWeighed,         5,        14,         .,         2,         2,         5,         2,         1,         6,         1,         7,         .,         6,         8,         4,        27,         4,         3,         3,         9,         4,         7,        29,         .,         3,        14,         4
