PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,12,2,TRUE,FALSE,FALSE,,,1,2,,1961,1,AMAD61101,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",,,
AMPG,Amphu Gyabjen,,Khumbu Himal (N of Ama Dablam),5630,18471,12,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1953,1,AMPG53101,Apr 11,UK,"John Hunt, Tom Bourdillon",,,
ANN1,Annapurna I,,Annapurna Himal,8091,26545,1,5,TRUE,FALSE,FALSE,,,1,2,,1950,1,ANN150101,Jun 03,France,"Maurice Herzog, Louis Lachenal",,,
ANN2,Annapurna II,,Annapurna Himal,7937,26040,1,5,TRUE,FALSE,FALSE,,,1,2,,1960,1,ANN260101,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",,,
ANN3,Annapurna III,,Annapurna Himal,7555,24787,1,5,TRUE,FALSE,FALSE,,,1,2,,1961,1,ANN361101,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",,,
ANN4,Annapurna IV,,Annapurna Himal,7525,24688,1,5,TRUE,FALSE,FALSE,,,1,2,,1955,1,ANN455101,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",,,
ANNE,Annapurna I East,,Annapurna Himal (ENE of Annapurna I),8026,26332,1,5,TRUE,FALSE,FALSE,,Requires permit for Annapurna I,1,2,,1974,1,ANNE74101,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",,,
ANNM,Annapurna I Middle,,Annapurna Himal (ENE of Annapurna I),8051,26414,1,5,TRUE,FALSE,FALSE,,Requires permit for Annapurna I,1,2,,1980,3,ANNM80301,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",,,
ANNS,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,23684,1,5,TRUE,FALSE,FALSE,,,1,2,,1964,3,ANNS64301,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",,,
APIM,Api Main,,Api Himal,7132,23399,2,7,TRUE,FALSE,FALSE,,,1,2,,1960,1,APIM60101,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m,,
APIW,Api West,,Api Himal (W of Api),7076,23215,2,7,TRUE,FALSE,FALSE,,,1,1,,,0,,,,Unclimbed,,,
BARU,Baruntse,,Khumbu Himal (W of Makalu),7152,23465,12,2,TRUE,FALSE,FALSE,,,1,2,,1954,1,BARU54101,May 29,New Zealand,"Colin Todd, Geoff Harrow",,,
