character_id	description
1	所属：熊本県
2	所属：第一印刷株式会社
3	"所属：にしこくんプロジェクト

武蔵の国・国分寺跡から発掘された“あぶみ瓦”の妖精。「にしこくんと申しますブーン( *｀ω´)！！」"
4	"所属：大田原市観光協会

ボクの仕事は栃木県大田原市をPRして元気にすることだよ。旬な情報をブログやフェイスブックでお届けしてるよ。ボクと握手すると一矢必中のご利益があるかも…♪扇の的を射抜いたようにグランプリ1位を射抜きます!"
5	所属：はち丸事務局
6	"所属：深谷市役所

真面目なゆるキャラ、真面目にゆるキャラ♪埼玉県深谷市イメージキャラクターのふっかちゃんだよぉY(o0ω0o)Y♪ふっかちゃんにとって、泣いても笑っても今年がゆるキャラグランプリ最後の挑戦！てっぺん目指してばんがるから、応援よろしくおねぎしまぁ～す！Y(o≧ω≦o)Y"
7	"所属：北九州市人権推進センター

ぼくはモモマルくん。北九州市が、もっともっとあたたかいきもちにあふれたまちになるようにがんばる、モモンガの男の子だよ☆今年もグランプリで、おともだちがた～っくさんできるとうれしいな♪"
8	所属：ひとひとの会(柳ケ瀬商店街)
9	"所属：大阪府箕面市

ゆずともみじの里・箕面をPRするために生まれたゆずのキャラクター。ご当地ゆるキャラ部門で毎年上位に入賞！たくさんのかたに箕面を知ってもらうため、今年も頑張るでござる！"
10	"所属：にいがたスキー100年委員会

新潟で日本に初めてスキーを伝えた実在の偉人レルヒさんが100年の時を超えて新潟に帰ってきた！スキーはもちろん、食べ物や温泉など、たくさんある新潟の魅力をＰＲするため大忙しです！"
11	所属：シーシーエヌ株式会社
12	所属：太宰府市商工会青年部
13	"所属：愛知県稲沢市

頭は稲沢市特産の植木とアシタバ、体全体はイチョウの黄色、はちまきとフンドシは “国府宮はだか祭”をイメージした稲沢の緑の精夢先案内人として、みんなを笑顔にすることを目標に頑張っている、まつりっこキャラ"
14	"所属：巣鴨地蔵通り商店街振興組合

巣鴨地蔵通り商店街のおもてなし委員長『すがもん』は鴨の国からやってきた12才の男の子。日本の商店街を元気にしたいがも～の思いで巣鴨で元気に修行中。“すがもんのおしりを触ると恋が実る”という都市伝説も！"
15	"所属：一般社団法人天草宝島観光協会

天草のマスコットキャラクターとして頑張っているぬん♪天草の魅力を広めるために毎日奮闘中！美味しいものに目がなくて、おドジなぼくだけど一生懸命だぬん☆"
16	"所属：石切参道商店街振興組合

大阪府親善大使もしててね、ご当地キャラ総選挙では全国女子キャラ１位になったの～♪今回は、ぐらんぷりのＰＲもさせてもらっているから、いっぱい頑張る～！ぐらんぷりでも女子キャラ１位になりたいなぁ♪"
17	"所属：宇都宮市

餃子のまち宇都宮市の花「サツキ」をモチーフにした妖精。自分をスーパーアイドルだと言い張るミヤリーは、相手が誰でも宇都宮をグイグイに押し売りしますが本人に悪気はありません。特技はギョーザダンス。"
18	"所属：群馬県

今年は、ぐんまちゃん誕生から２０年。世界文化遺産「富岡製糸場と絹産業遺産群」をはじめ、群馬県の魅力を多くの皆さんに知っていただけるよう、群馬県宣伝部長としてがんばっています。"
19	"所属：菖蒲商工会青年部

花菖蒲をモチーフに勝負パンツをはいた「しょうぶパン鬼―」は、「あなたの人生の勝負を応援するキャラクター」として誕生しました。パンツを履き替えてみんなの願いをかなえます。"
20	"所属：佐野市

佐野らーめんのお椀の笠に、いもフライの剣を持った佐野の城下町に住む侍。世界に佐野の魅力をＰＲすべく笠には外国の方にもわかるようローマ字で「ＳＡＮＯ」と書かれている。表彰台のてっぺん目指して　はっしん。"
21	"所属：公益社団法人　島根県観光連盟

島根県観光キャラクターの「しまねっこ」にゃ！国宝の松江城や出雲大社、世界遺産の石見銀山がある「ご縁の国しまね」のいいところをたくさんのお友だちに知ってもらうためにがんばるにゃ！誰とでもすぐになかよくなれるから、見かけたら声をかけてにゃ！"
