year	category	rank	character_id	name	area	organization	image_url	name_english	area_english	organization_english
2011	all	1	1	くまモン	（熊本県）	熊本県	https://www.yurugp.jp//img/uploads/character/200/00000001.jpg	Kumamon	(Kumamoto Prefecture)	Kumamoto Prefecture
2011	all	2	2	いまばり バリィさん	（愛媛県）	第一印刷株式会社	https://www.yurugp.jp//img/uploads/character/200/00000002.jpg	Imari Barry	(Ehime Prefecture)	First Printing Co., Ltd.
2011	all	3	3	にしこくん	（東京都）	にしこくんプロジェクト	https://www.yurugp.jp//img/uploads/character/200/00000003.jpg	Nishiko-kun	(Tokyo)	Nishiko-kun project
2011	all	4	4	与一くん	（栃木県）	大田原市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000004.jpg	Yoichi	(Tochigi Prefecture)	Otawara City Tourism Association
2011	all	5	5	はち丸/だなも/エビザベス	（愛知県）	はち丸事務局	https://www.yurugp.jp//img/uploads/character/200/00000005.jpg	Hachimaru / Danamo / Ebiza Beth	(Aichi Prefecture)	Hachimaru Secretariat
2011	all	6	6	ふっかちゃん	（埼玉県）	深谷市役所	https://www.yurugp.jp//img/uploads/character/200/00000006.jpg	Fukka	(Saitama)	Fukaya City Hall
2011	all	7	7	モモマルくん	（福岡県）	北九州市人権推進センター	https://www.yurugp.jp//img/uploads/character/200/00000007.jpg	Momomaru	(Fukuoka Prefecture)	Kitakyushu Human Rights Promotion Center
2011	all	8	8	やなな	（岐阜県）	ひとひとの会(柳ケ瀬商店街)	https://www.yurugp.jp//img/uploads/character/200/00000008.jpg	Yana	(Gifu Prefecture)	Meeting of people (Yanagase shopping street)
2011	all	9	9	滝ノ道ゆずる	（大阪府）	大阪府箕面市	https://www.yurugp.jp//img/uploads/character/200/00000009.jpg	Takinomichi Yuzuru	(Osaka Prefecture)	Minoh City, Osaka Prefecture
2011	all	10	10	レルヒさん	（新潟県）	にいがたスキー100年委員会	https://www.yurugp.jp//img/uploads/character/200/00000010.jpg	Lerhi	(Niigata Prefecture)	Niigata Ski 100 Years Committee
2011	all	11	11	ナガラ―	（岐阜県）	シーシーエヌ株式会社	https://www.yurugp.jp//img/uploads/character/200/00000011.jpg	Nagara	(Gifu Prefecture)	CNC Corporation
2011	all	12	12	千梅ちゃん	（福岡県）	太宰府市商工会青年部	https://www.yurugp.jp//img/uploads/character/200/00000012.jpg	Chiume	(Fukuoka Prefecture)	Dazaifu City Chamber of Commerce and Industry
