year	category	rank	character_id	name	area	affiliation	image_url	description
2011	all	1	1	Kumamon	Kumamoto Prefecture	Kumamoto Prefecture	https://www.yurugp.jp//img/uploads/character/200/00000001.jpg	NA
2011	all	2	2	Imari Barry	Ehime Prefecture	First Printing Co., Ltd.	https://www.yurugp.jp//img/uploads/character/200/00000002.jpg	NA
2011	all	3	3	Nishiko-kun	Tokyo	Nishiko-kun project	https://www.yurugp.jp//img/uploads/character/200/00000003.jpg	"A fairy of ""Abumi Tile"" excavated from the remains of Kokubunji Temple in Musashi. ""I'm Nishiko-kun, Boone (*`ω')!!"""
2011	all	4	4	Yoichi	Tochigi Prefecture	Otawara City Tourism Association	https://www.yurugp.jp//img/uploads/character/200/00000004.jpg	My job is to publicize Otawara City, Tochigi Prefecture and make it better. I'll send you seasonal information on my blog and Facebook. If you shake hands with me, there might be an inevitable profit...♪ I will shoot the 1st place of the Grand Prix as if I hit the target of the fan!
2011	all	5	5	Hachimaru / Danamo / Ebiza Beth	Aichi Prefecture	Hachimaru Secretariat	https://www.yurugp.jp//img/uploads/character/200/00000005.jpg	NA
2011	all	6	6	Fukka	Saitama	Fukaya City Hall	https://www.yurugp.jp//img/uploads/character/200/00000006.jpg	Serious Yuru Chara, Serious Yuru Chara♪ Fukka-chan, the image character of Fukaya City, Saitama Prefecture Y(o0ω0o)Y♪ For Fukka-chan, this year's final challenge is Yuru-chara Grand Prix, even if she crys or laughs! I'm aiming for the top, so please support me onion! Y(o≧ω≦o)Y
2011	all	7	7	Momomaru	Fukuoka Prefecture	Kitakyushu Human Rights Promotion Center	https://www.yurugp.jp//img/uploads/character/200/00000007.jpg	I'm Momomaru-kun. Kitakyushu is a momonga boy who works hard to become a town that is full of warmth and warmth.
2011	all	8	8	Yana	Gifu Prefecture	Meeting of people (Yanagase shopping street)	https://www.yurugp.jp//img/uploads/character/200/00000008.jpg	Affiliation: Meeting of people (Yanagase Shopping Street)
2011	all	9	9	Takinomichi Yuzuru	Osaka Prefecture	Minoh City, Osaka Prefecture	https://www.yurugp.jp//img/uploads/character/200/00000009.jpg	A character of Yuzu that was born to publicize Minoh, the village of Yuzu and Momiji. Every year in the local Yuru Chara category, we win the top prize! Let's do our best this year so that many people can know about Minoh!
2011	all	10	10	Lerhi	Niigata Prefecture	Niigata Ski 100 Years Committee	https://www.yurugp.jp//img/uploads/character/200/00000010.jpg	Mr. Lerhi, a real man who first introduced skiing to Japan in Niigata, has returned to Niigata for over 100 years! Not only skiing, but we are very busy promoting the many attractions of Niigata, such as food and hot springs!
2011	all	11	11	Nagara	Gifu Prefecture	CNC Corporation	https://www.yurugp.jp//img/uploads/character/200/00000011.jpg	NA
2011	all	12	12	Chiume	Fukuoka Prefecture	Dazaifu City Chamber of Commerce and Industry	https://www.yurugp.jp//img/uploads/character/200/00000012.jpg	NA
2011	all	13	13	Inappi	Aichi Prefecture	Inazawa City, Aichi Prefecture	https://www.yurugp.jp//img/uploads/character/200/00000013.jpg	The head is Inazawa's special plant and ashitaba, the whole body is yellow of ginkgo, and Hachimaki and Fundoshi are Inazawa's green dream guides with the image of “Kokufu Palace Hadaka Festival” There is a Matsurikko character
2011	all	14	14	Sugamon	Tokyo	Sugamo Jizo-dori Shopping District Promotion Association	https://www.yurugp.jp//img/uploads/character/200/00000014.jpg	"Sugamon, the chairman of the hospitality committee at Sugamo Jizo-dori Shopping Street, is a 12-year-old boy from the country of duck. I want to rejuvenate the shopping streets of Japan, but I'm currently training in Sugamo. There's even an urban legend that says, ""If you touch Suganon's buttocks, you will get love!"""
2011	all	15	15	Captain Kaido	Kumamoto Prefecture	Amakusa Takarajima Tourism Association	https://www.yurugp.jp//img/uploads/character/200/00000015.jpg	I'm working hard as Amakusa's mascot character ♪ I'm struggling every day to spread the charm of Amakusa! I have no eyes on delicious food, it's a ridiculous dumb but I'm working hard ☆
2011	all	16	16	Ishikirin	Osaka Prefecture	Ishigakisando shopping street promotion combination	https://www.yurugp.jp//img/uploads/character/200/00000016.jpg	I am also a goodwill ambassador for Osaka Prefecture, and I was the number one female character nationwide in the local character general election. I want to be the first female character in Grand Prix♪
2011	all	17	17	MIARY	Tochigi Prefecture	Utsunomiya City	https://www.yurugp.jp//img/uploads/character/200/00000017.jpg	"A fairy with a motif of ""Satsuki"", a flower of dumplings in Utsunomiya City. Miyalie, who claims to be a super idol, sells Utsunomiya to Guigui regardless of who he is, but he is not ill at all. Special skill is gyoza dance."
2011	all	18	18	"Gunma mascot ""Gunma-chan"""	Gunma Prefecture	Gunma Prefecture	https://www.yurugp.jp//img/uploads/character/200/00000018.jpg	"This year has been 20 years since Gunma was born. I am doing my best as the Gunma Prefecture Advertising Department Manager so that many people can understand the charm of Gunma Prefecture including the world cultural heritage ""Tomioka Silk Mill and Silk Industry Heritage Group""."
2011	all	19	19	Shobu Bread Onichi	Saitama	Shobu Chamber of Commerce	https://www.yurugp.jp//img/uploads/character/200/00000019.jpg	"""Shobupan Oni"", which wore match pants with a motif of iris, was born as ""a character that supports the game of your life."" Change your pants to fulfill everyone's wishes."
2011	all	20	20	Sanomaru	Tochigi Prefecture	Sano City	https://www.yurugp.jp//img/uploads/character/200/00000020.jpg	"A samurai living in the castle town of Sano, holding a Sano Ramen bowl cap and a sword of potato flies. In order to publicize Sano's charm to the world, ""SANO"" is written in Roman letters so that foreigners can understand it. Aiming at the top of the podium Hasshin."
2011	all	21	21	"Shimane tourism character ""Shimaneko"""	Shimane Prefecture	Shimane Prefectural Tourism Federation	https://www.yurugp.jp//img/uploads/character/200/00000021.jpg	"Shimane tourist character ""Shimaneko"" Nya! I'll do my best to let many friends know the good points of ""The Country Shimane"", where the national treasure Matsue Castle, Izumo Taisha Shrine, and the world heritage Iwami Ginzan are located! Anyone can quickly get better, so if you see me, call me out!"
2011	all	22	22	Basalt Gen	Hyogo prefecture	Toyooka City Hall	https://www.yurugp.jp//img/uploads/character/200/00000022.jpg	Hello everyone! It's a basalt rock that came from Genbudo Park in Toyooka! My dream is that beautiful nature is protected! We are struggling every day to promote tourism in Toyooka and to raise awareness of the Sanin Kaigan Geopark. !
2011	all	23	23	Torimo-chan	Yamanashi Prefecture	A team that holds everyone's edge with Kofu Tori Motsuni	https://www.yurugp.jp//img/uploads/character/200/00000023.jpg	"""Torimo-chan"", the loose character of ""The team that holds your edge""! An eternal 40-year-old rooster year that is strong against liquor but fragile. Our mission is to connect with all of our lovers, families, and communities, and we are struggling every day to convey the charm of Kofu!"
2011	all	24	24	Tohyo-kun	Gunma Prefecture	Tatebayashi Election Commission	https://www.yurugp.jp//img/uploads/character/200/00000024.jpg	With the motif of the city bird Kadamo, the world's most famous azalea flowers are on its head. Active in Tatebayashi City, Japan's hottest town, to make the election feel familiar. This year I will do my best to win the top prize! Would you be glad if you could vote? !
2011	all	25	25	Taikun	Osaka Prefecture	Osaka/Taishi Town	https://www.yurugp.jp//img/uploads/character/200/00000025.jpg	A cheerful boy who has slipped in time since the days of Prince Shotoku. It may be nice to have your hands stroke your head!? Thank you for visiting Shotoku Taishi, the Japanese heritage town of Osaka and Taishi Town!
2011	all	26	26	"Image character ""Gozcho"" of Agano City"	Niigata Prefecture	Agano	https://www.yurugp.jp//img/uploads/character/200/00000026.jpg	"The character is based on the image of ""Mt. Goto"" towering in Agano City, and ""Swan"" that flies to ""Hako Lake"" every year. I love rice! I love sports! When you see someone doing their best, they shake their wings and cheer up!"
2011	all	27	27	Ayukoro-chan	Kanagawa Prefecture	Atsugi City	https://www.yurugp.jp//img/uploads/character/200/00000027.jpg	I'm Ayu Koro-chan, a collaboration between Atsugi's local gourmet white-cold hormone pig and Ayu, a local specialty! The most favorite is the handmade happi, which is full of charm of the city, such as fireworks, hot springs, and Satsuki flowers.
2011	all	28	28	Saba Tiger Nana	Fukui Prefecture	Obama Chamber of Commerce	https://www.yurugp.jp//img/uploads/character/200/00000028.jpg	Nana, a mackerel tiger in Obama City, Fukui Prefecture. I'm delighted when I'm praised because I can understand human words. Will be done! I love sunbathing, taking a walk and eating ☆ I love my favorite mackerel mackerel in my pocket!
