event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,comments,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2259248592,true,2008-04-10 19:00:00.000,-122.58893692186166,56.28957329019155,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248593,true,2008-05-10 19:00:00.000,-122.75178482325163,56.25633254567924,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248594,true,2008-06-18 19:00:00.000,-122.96327383166852,56.194734851999016,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248595,true,2008-07-16 19:00:00.000,-122.96608092313798,56.19124960466721,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248596,true,2008-08-12 19:00:00.000,-123.02580592294963,56.2032999874296,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248597,true,2008-09-18 19:00:00.000,-122.9426735147897,56.209093475257276,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248598,true,2008-11-20 19:00:00.000,-122.58528195026213,56.29590423685533,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248599,true,2008-12-20 19:00:00.000,-122.56170191481844,56.2681773229818,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248600,true,2009-01-17 19:00:00.000,-122.55421886088655,56.25631780190774,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248601,true,2009-02-25 19:00:00.000,-122.59199984852553,56.29928678777793,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC01","GR_GC01","Mountain caribou in British Columbia"
2259248602,true,2008-04-10 19:00:00.000,-122.58893692186166,56.28957329019155,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248603,true,2008-05-10 19:00:00.000,-122.60466646389322,56.31827633178282,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248604,true,2008-06-18 19:00:00.000,-122.65263078728448,56.24384794323771,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248605,true,2008-07-16 19:00:00.000,-122.61383713416258,56.24577249843524,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248606,true,2008-08-12 19:00:00.000,-122.55599995228161,56.308803452397214,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248607,true,2008-09-18 19:00:00.000,-122.62403964930257,56.30131986650512,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248608,true,2008-10-17 19:00:00.000,-122.52227291518017,56.3096483168649,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248609,true,2008-11-20 19:00:00.000,-122.5839400578669,56.28854134271815,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248610,true,2008-12-20 19:00:00.000,-122.58786581797918,56.29302880419843,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248611,true,2009-01-17 19:00:00.000,-122.57032262585919,56.284137303388,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248612,true,2009-02-25 19:00:00.000,-122.60283288760812,56.297111788419095,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC02","GR_GC02","Mountain caribou in British Columbia"
2259248613,true,2008-04-10 19:00:00.000,-122.58730300528059,56.28828305677976,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248614,true,2008-05-10 19:00:00.000,-122.60466646389322,56.31827633178282,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248615,true,2008-06-18 19:00:00.000,-122.65263078728448,56.24384794323771,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248616,true,2008-07-16 19:00:00.000,-122.68709865830367,56.2218466196215,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248617,true,2008-08-12 19:00:00.000,-122.55661204227066,56.264322750308516,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248618,true,2008-09-18 19:00:00.000,-122.53457372123167,56.23248994868847,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248619,true,2008-10-17 19:00:00.000,-122.581865383593,56.3542654417871,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248620,true,2008-11-20 19:00:00.000,-122.7026536330719,56.399617077853414,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248621,true,2008-12-20 19:00:00.000,-122.72126290929764,56.42265132929628,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248622,true,2009-01-17 19:00:00.000,-122.69997349947599,56.37988981788652,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248623,true,2009-02-25 19:00:00.000,-122.61790956366617,56.31805732822322,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC03","GR_GC03","Mountain caribou in British Columbia"
2259248624,true,2008-04-10 19:00:00.000,-122.68401181426043,56.455570584453966,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248625,true,2008-05-10 19:00:00.000,-122.69346897266566,56.56055731432715,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248626,true,2008-09-18 19:00:00.000,-122.81513483757332,56.55451779948065,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248627,true,2008-10-20 19:00:00.000,-122.69417129466942,56.435075787129044,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248628,true,2008-11-20 19:00:00.000,-122.70215243439928,56.40570730044538,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248629,true,2008-12-20 19:00:00.000,-122.72126290929764,56.42265132929628,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248630,true,2009-01-17 19:00:00.000,-122.62005075242257,56.400334936129525,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248631,true,2009-02-25 19:00:00.000,-122.64394221822182,56.39233779360631,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC04","GR_GC04","Mountain caribou in British Columbia"
2259248632,true,2008-04-10 19:00:00.000,-122.58893692186166,56.28957329019155,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248633,true,2008-05-10 19:00:00.000,-122.72135335283168,56.31264595400097,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248634,true,2008-06-18 19:00:00.000,-122.62961454193008,56.29132783667082,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248635,true,2008-07-16 19:00:00.000,-122.63568506197434,56.239082274275034,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248636,true,2008-08-12 19:00:00.000,-122.63217035316,56.34313139308467,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248637,true,2008-09-18 19:00:00.000,-122.72823002670533,56.27072132079773,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248638,true,2008-10-17 19:00:00.000,-122.58327607992135,56.247101934681616,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248639,true,2008-11-20 19:00:00.000,-122.55010002421258,56.249681191148106,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248640,true,2008-12-20 19:00:00.000,-122.51335136303734,56.32738513573277,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248641,true,2009-01-17 19:00:00.000,-122.62423950400527,56.33034957536364,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248642,true,2009-02-25 19:00:00.000,-122.6137842915285,56.31351631876956,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC05","GR_GC05","Mountain caribou in British Columbia"
2259248643,true,2008-04-10 19:00:00.000,-122.7278882916924,56.459681510991,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248644,true,2008-05-10 19:00:00.000,-122.74128831256878,56.57709801197336,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248645,true,2008-06-18 19:00:00.000,-123.21417110285255,56.64516519400511,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248646,true,2008-07-16 19:00:00.000,-123.46880613317406,56.846498439465215,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248647,true,2008-08-12 19:00:00.000,-123.27878314416265,56.69225724234086,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248648,true,2008-09-18 19:00:00.000,-122.74427990970507,56.54383585092432,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248649,true,2008-11-20 19:00:00.000,-123.20025573839852,56.588660614441785,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC06","GR_GC06","Mountain caribou in British Columbia"
2259248650,true,2008-04-10 19:00:00.000,-122.7278882916924,56.459681510991,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC07","GR_GC07","Mountain caribou in British Columbia"
2259248651,true,2008-05-10 19:00:00.000,-122.73506778114928,56.56815467619206,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC07","GR_GC07","Mountain caribou in British Columbia"
2259248652,true,2008-06-18 19:00:00.000,-122.68849460585118,56.45104482485589,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC07","GR_GC07","Mountain caribou in British Columbia"
2259248653,true,2008-07-16 19:00:00.000,-123.41748920242861,56.76077678911913,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC07","GR_GC07","Mountain caribou in British Columbia"
2259248654,true,2008-08-12 19:00:00.000,-123.4261944724493,56.75530307906834,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC07","GR_GC07","Mountain caribou in British Columbia"
2259248655,true,2008-10-20 19:00:00.000,-122.82225563823104,56.614443198569674,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC07","GR_GC07","Mountain caribou in British Columbia"
