station_id,station_name,latitude,longitude,year,flower_date,flower_doy,full_bloom_date,full_bloom_doy
47401,Wakkanai,45.415,141.67888888888888,1953,1953-05-21,141,1953-05-30,150
47401,Wakkanai,45.415,141.67888888888888,1954,1954-05-17,137,1954-05-27,147
47401,Wakkanai,45.415,141.67888888888888,1955,1955-05-17,137,1955-05-23,143
47401,Wakkanai,45.415,141.67888888888888,1956,1956-05-12,133,1956-05-14,135
47401,Wakkanai,45.415,141.67888888888888,1957,1957-05-18,138,1957-05-22,142
47401,Wakkanai,45.415,141.67888888888888,1958,1958-05-23,143,1958-05-25,145
47401,Wakkanai,45.415,141.67888888888888,1959,1959-05-03,123,1959-05-12,132
47401,Wakkanai,45.415,141.67888888888888,1960,1960-05-19,140,1960-05-24,145
47401,Wakkanai,45.415,141.67888888888888,1961,1961-05-11,131,1961-05-18,138
47401,Wakkanai,45.415,141.67888888888888,1962,1962-05-10,130,1962-05-17,137
47401,Wakkanai,45.415,141.67888888888888,1963,1963-05-12,132,1963-05-15,135
47401,Wakkanai,45.415,141.67888888888888,1964,1964-05-16,137,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1965,1965-05-18,138,1965-05-22,142
47401,Wakkanai,45.415,141.67888888888888,1966,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1967,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1968,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1969,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1970,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1971,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1972,NA,NA,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1973,1973-05-20,140,NA,NA
47401,Wakkanai,45.415,141.67888888888888,1974,1974-05-19,139,1974-05-22,142
47401,Wakkanai,45.415,141.67888888888888,1975,1975-05-19,139,1975-05-22,142
47406,Rumoi,43.94611111111111,141.63194444444446,1953,1953-05-08,128,1953-05-13,133
47406,Rumoi,43.94611111111111,141.63194444444446,1954,1954-05-11,131,1954-05-17,137
47406,Rumoi,43.94611111111111,141.63194444444446,1955,1955-05-13,133,1955-05-16,136
47406,Rumoi,43.94611111111111,141.63194444444446,1956,1956-05-08,129,1956-05-14,135
47406,Rumoi,43.94611111111111,141.63194444444446,1957,1957-05-10,130,1957-05-14,134
47406,Rumoi,43.94611111111111,141.63194444444446,1958,1958-05-12,132,1958-05-16,136
47406,Rumoi,43.94611111111111,141.63194444444446,1959,NA,NA,NA,NA
47406,Rumoi,43.94611111111111,141.63194444444446,1960,NA,NA,NA,NA
47406,Rumoi,43.94611111111111,141.63194444444446,1961,1961-05-07,127,1961-05-13,133
47406,Rumoi,43.94611111111111,141.63194444444446,1962,1962-05-09,129,1962-05-16,136
47406,Rumoi,43.94611111111111,141.63194444444446,1963,1963-05-13,133,1963-05-17,137
47406,Rumoi,43.94611111111111,141.63194444444446,1964,1964-05-08,129,1964-05-11,132
47406,Rumoi,43.94611111111111,141.63194444444446,1965,1965-05-18,138,1965-05-23,143
47406,Rumoi,43.94611111111111,141.63194444444446,1966,1966-05-16,136,1966-05-20,140
47406,Rumoi,43.94611111111111,141.63194444444446,1967,1967-05-11,131,1967-05-19,139
47406,Rumoi,43.94611111111111,141.63194444444446,1968,1968-05-08,129,1968-05-11,132
47406,Rumoi,43.94611111111111,141.63194444444446,1969,1969-05-16,136,1969-05-18,138
47406,Rumoi,43.94611111111111,141.63194444444446,1970,1970-05-09,129,1970-05-11,131
47406,Rumoi,43.94611111111111,141.63194444444446,1971,1971-05-17,137,1971-05-21,141
47406,Rumoi,43.94611111111111,141.63194444444446,1972,NA,NA,NA,NA
47406,Rumoi,43.94611111111111,141.63194444444446,1973,1973-05-12,132,1973-05-18,138
47406,Rumoi,43.94611111111111,141.63194444444446,1974,1974-05-15,135,1974-05-18,138
47406,Rumoi,43.94611111111111,141.63194444444446,1975,1975-05-08,128,1975-05-12,132
47407,Asahikawa,43.75694444444444,142.37222222222223,1953,1953-05-11,131,1953-05-16,136
47407,Asahikawa,43.75694444444444,142.37222222222223,1954,1954-05-13,133,1954-05-18,138
47407,Asahikawa,43.75694444444444,142.37222222222223,1955,1955-05-09,129,1955-05-14,134
47407,Asahikawa,43.75694444444444,142.37222222222223,1956,1956-05-07,128,1956-05-13,134
47407,Asahikawa,43.75694444444444,142.37222222222223,1957,1957-05-09,129,1957-05-14,134
47407,Asahikawa,43.75694444444444,142.37222222222223,1958,1958-05-10,130,1958-05-15,135
47407,Asahikawa,43.75694444444444,142.37222222222223,1959,1959-05-08,128,1959-05-13,133
47407,Asahikawa,43.75694444444444,142.37222222222223,1960,1960-05-13,134,1960-05-16,137
47407,Asahikawa,43.75694444444444,142.37222222222223,1961,1961-05-08,128,1961-05-12,132
47407,Asahikawa,43.75694444444444,142.37222222222223,1962,1962-05-08,128,1962-05-11,131
47407,Asahikawa,43.75694444444444,142.37222222222223,1963,1963-05-10,130,1963-05-13,133
47407,Asahikawa,43.75694444444444,142.37222222222223,1964,1964-05-12,133,1964-05-16,137
47407,Asahikawa,43.75694444444444,142.37222222222223,1965,1965-05-15,135,1965-05-19,139
47407,Asahikawa,43.75694444444444,142.37222222222223,1966,1966-05-14,134,1966-05-18,138
47407,Asahikawa,43.75694444444444,142.37222222222223,1967,1967-05-05,125,1967-05-08,128
47407,Asahikawa,43.75694444444444,142.37222222222223,1968,1968-05-02,123,1968-05-05,126
47407,Asahikawa,43.75694444444444,142.37222222222223,1969,1969-05-06,126,1969-05-09,129
47407,Asahikawa,43.75694444444444,142.37222222222223,1970,1970-05-07,127,1970-05-10,130
47407,Asahikawa,43.75694444444444,142.37222222222223,1971,1971-05-12,132,1971-05-15,135
47407,Asahikawa,43.75694444444444,142.37222222222223,1972,1972-04-30,121,1972-05-04,125
47407,Asahikawa,43.75694444444444,142.37222222222223,1973,1973-05-09,129,1973-05-11,131
47407,Asahikawa,43.75694444444444,142.37222222222223,1974,1974-05-13,133,1974-05-15,135
47407,Asahikawa,43.75694444444444,142.37222222222223,1975,1975-05-08,128,1975-05-12,132
47409,Abashiri,44.01777777777777,144.27972222222223,1953,1953-05-24,144,1953-05-26,146
47409,Abashiri,44.01777777777777,144.27972222222223,1954,1954-05-16,136,1954-05-19,139
47409,Abashiri,44.01777777777777,144.27972222222223,1955,1955-05-18,138,1955-05-20,140
47409,Abashiri,44.01777777777777,144.27972222222223,1956,1956-05-09,130,1956-05-13,134
47409,Abashiri,44.01777777777777,144.27972222222223,1957,NA,NA,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1958,NA,NA,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1959,1959-05-03,123,1959-05-07,127
47409,Abashiri,44.01777777777777,144.27972222222223,1960,NA,NA,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1961,1961-05-08,128,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1962,NA,NA,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1963,1963-05-13,133,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1964,NA,NA,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1965,1965-05-17,137,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1966,1966-05-18,138,1966-05-21,141
47409,Abashiri,44.01777777777777,144.27972222222223,1967,1967-05-10,130,NA,NA
47409,Abashiri,44.01777777777777,144.27972222222223,1968,1968-05-06,127,1968-05-10,131
47409,Abashiri,44.01777777777777,144.27972222222223,1969,1969-05-09,129,1969-05-13,133
47409,Abashiri,44.01777777777777,144.27972222222223,1970,1970-05-08,128,1970-05-10,130
47409,Abashiri,44.01777777777777,144.27972222222223,1971,1971-05-16,136,1971-05-20,140
47409,Abashiri,44.01777777777777,144.27972222222223,1972,1972-05-03,124,1972-05-06,127
47409,Abashiri,44.01777777777777,144.27972222222223,1973,1973-05-09,129,1973-05-13,133
47409,Abashiri,44.01777777777777,144.27972222222223,1974,1974-05-16,136,1974-05-18,138
47409,Abashiri,44.01777777777777,144.27972222222223,1975,1975-05-14,134,1975-05-17,137
47412,Sapporo,43.059999999999995,141.32861111111112,1953,1953-05-07,127,1953-05-14,134
47412,Sapporo,43.059999999999995,141.32861111111112,1954,1954-05-04,124,1954-05-08,128
47412,Sapporo,43.059999999999995,141.32861111111112,1955,1955-05-11,131,1955-05-16,136
47412,Sapporo,43.059999999999995,141.32861111111112,1956,1956-05-04,125,1956-05-09,130
47412,Sapporo,43.059999999999995,141.32861111111112,1957,1957-05-09,129,1957-05-13,133
47412,Sapporo,43.059999999999995,141.32861111111112,1958,NA,NA,NA,NA
47412,Sapporo,43.059999999999995,141.32861111111112,1959,1959-05-05,125,1959-05-10,130
47412,Sapporo,43.059999999999995,141.32861111111112,1960,1960-05-05,126,1960-05-09,130
47412,Sapporo,43.059999999999995,141.32861111111112,1961,1961-05-04,124,1961-05-09,129
47412,Sapporo,43.059999999999995,141.32861111111112,1962,1962-04-30,120,1962-05-05,125
47412,Sapporo,43.059999999999995,141.32861111111112,1963,1963-05-02,122,1963-05-05,125
47412,Sapporo,43.059999999999995,141.32861111111112,1964,1964-05-04,125,1964-05-07,128
47412,Sapporo,43.059999999999995,141.32861111111112,1965,1965-05-13,133,1965-05-16,136
47412,Sapporo,43.059999999999995,141.32861111111112,1966,1966-05-03,123,1966-05-11,131
47412,Sapporo,43.059999999999995,141.32861111111112,1967,1967-05-01,121,1967-05-04,124
47412,Sapporo,43.059999999999995,141.32861111111112,1968,1968-04-26,117,1968-05-04,125
47412,Sapporo,43.059999999999995,141.32861111111112,1969,1969-05-05,125,1969-05-10,130
