station_id,station_name,year,month,month_date,mean_temp_c
47401,Wakkanai,1952,Jan,1952-01-01,-5.7
47401,Wakkanai,1952,Feb,1952-02-01,-7.1
47401,Wakkanai,1952,Mar,1952-03-01,-2.4
47401,Wakkanai,1952,Apr,1952-04-01,3.8
47401,Wakkanai,1952,May,1952-05-01,8.3
47401,Wakkanai,1952,Jun,1952-06-01,13.1
47401,Wakkanai,1952,Jul,1952-07-01,16.4
47401,Wakkanai,1952,Aug,1952-08-01,19.7
47401,Wakkanai,1952,Sep,1952-09-01,17
47401,Wakkanai,1952,Oct,1952-10-01,11.3
47401,Wakkanai,1952,Nov,1952-11-01,0.9
47401,Wakkanai,1952,Dec,1952-12-01,-7.1
47401,Wakkanai,1953,Jan,1953-01-01,-7.7
47401,Wakkanai,1953,Feb,1953-02-01,-7.3
47401,Wakkanai,1953,Mar,1953-03-01,-0.9
47401,Wakkanai,1953,Apr,1953-04-01,3.6
47401,Wakkanai,1953,May,1953-05-01,6.9
47401,Wakkanai,1953,Jun,1953-06-01,11.1
47401,Wakkanai,1953,Jul,1953-07-01,16.8
47401,Wakkanai,1953,Aug,1953-08-01,19.2
47401,Wakkanai,1953,Sep,1953-09-01,17.6
47401,Wakkanai,1953,Oct,1953-10-01,11.2
47401,Wakkanai,1953,Nov,1953-11-01,-0.6
47401,Wakkanai,1953,Dec,1953-12-01,-2.6
47401,Wakkanai,1954,Jan,1954-01-01,-6.7
47401,Wakkanai,1954,Feb,1954-02-01,-4.1
47401,Wakkanai,1954,Mar,1954-03-01,-2.5
47401,Wakkanai,1954,Apr,1954-04-01,4
47401,Wakkanai,1954,May,1954-05-01,7.5
47401,Wakkanai,1954,Jun,1954-06-01,11
47401,Wakkanai,1954,Jul,1954-07-01,13.7
47401,Wakkanai,1954,Aug,1954-08-01,17
47401,Wakkanai,1954,Sep,1954-09-01,17.2
47401,Wakkanai,1954,Oct,1954-10-01,9.5
47401,Wakkanai,1954,Nov,1954-11-01,3.2
47401,Wakkanai,1954,Dec,1954-12-01,-1.8
47401,Wakkanai,1955,Jan,1955-01-01,-6.4
47401,Wakkanai,1955,Feb,1955-02-01,-4.8
47401,Wakkanai,1955,Mar,1955-03-01,-1.3
47401,Wakkanai,1955,Apr,1955-04-01,4.7
47401,Wakkanai,1955,May,1955-05-01,7
47401,Wakkanai,1955,Jun,1955-06-01,12.7
47401,Wakkanai,1955,Jul,1955-07-01,20.3
47401,Wakkanai,1955,Aug,1955-08-01,19.5
47401,Wakkanai,1955,Sep,1955-09-01,15.5
47401,Wakkanai,1955,Oct,1955-10-01,10.6
47401,Wakkanai,1955,Nov,1955-11-01,3.6
47401,Wakkanai,1955,Dec,1955-12-01,-0.4
47401,Wakkanai,1956,Jan,1956-01-01,-6.1
47401,Wakkanai,1956,Feb,1956-02-01,-4.6
47401,Wakkanai,1956,Mar,1956-03-01,-2
47401,Wakkanai,1956,Apr,1956-04-01,5.1
47401,Wakkanai,1956,May,1956-05-01,10.8
47401,Wakkanai,1956,Jun,1956-06-01,11.2
47401,Wakkanai,1956,Jul,1956-07-01,13.8
47401,Wakkanai,1956,Aug,1956-08-01,16.3
47401,Wakkanai,1956,Sep,1956-09-01,17.2
47401,Wakkanai,1956,Oct,1956-10-01,12.3
47401,Wakkanai,1956,Nov,1956-11-01,2.8
47401,Wakkanai,1956,Dec,1956-12-01,-2.6
47401,Wakkanai,1957,Jan,1957-01-01,-3.9
47401,Wakkanai,1957,Feb,1957-02-01,-5.5
47401,Wakkanai,1957,Mar,1957-03-01,-2.9
47401,Wakkanai,1957,Apr,1957-04-01,4.4
47401,Wakkanai,1957,May,1957-05-01,9.3
47401,Wakkanai,1957,Jun,1957-06-01,10.9
47401,Wakkanai,1957,Jul,1957-07-01,17.1
47401,Wakkanai,1957,Aug,1957-08-01,18.2
47401,Wakkanai,1957,Sep,1957-09-01,15.5
47401,Wakkanai,1957,Oct,1957-10-01,11.1
47401,Wakkanai,1957,Nov,1957-11-01,5.4
47401,Wakkanai,1957,Dec,1957-12-01,-1.1
47401,Wakkanai,1958,Jan,1958-01-01,-4.9
47401,Wakkanai,1958,Feb,1958-02-01,-4.9
47401,Wakkanai,1958,Mar,1958-03-01,-2.3
47401,Wakkanai,1958,Apr,1958-04-01,4.4
47401,Wakkanai,1958,May,1958-05-01,8.5
47401,Wakkanai,1958,Jun,1958-06-01,12.6
47401,Wakkanai,1958,Jul,1958-07-01,17.5
47401,Wakkanai,1958,Aug,1958-08-01,18.3
47401,Wakkanai,1958,Sep,1958-09-01,16.8
47401,Wakkanai,1958,Oct,1958-10-01,10.6
47401,Wakkanai,1958,Nov,1958-11-01,4.5
47401,Wakkanai,1958,Dec,1958-12-01,-0.5
47401,Wakkanai,1959,Jan,1959-01-01,-7.3
47401,Wakkanai,1959,Feb,1959-02-01,-2.8
47401,Wakkanai,1959,Mar,1959-03-01,0.8
47401,Wakkanai,1959,Apr,1959-04-01,6.4
47401,Wakkanai,1959,May,1959-05-01,9.4
47401,Wakkanai,1959,Jun,1959-06-01,12.7
47401,Wakkanai,1959,Jul,1959-07-01,17.1
47401,Wakkanai,1959,Aug,1959-08-01,18.5
47401,Wakkanai,1959,Sep,1959-09-01,16.2
47401,Wakkanai,1959,Oct,1959-10-01,11.6
47401,Wakkanai,1959,Nov,1959-11-01,2.9
47401,Wakkanai,1959,Dec,1959-12-01,-3.9
47401,Wakkanai,1960,Jan,1960-01-01,-7.2
47401,Wakkanai,1960,Feb,1960-02-01,-5.2
47401,Wakkanai,1960,Mar,1960-03-01,-1.4
47401,Wakkanai,1960,Apr,1960-04-01,3.5
47401,Wakkanai,1960,May,1960-05-01,7.7
47401,Wakkanai,1960,Jun,1960-06-01,10.8
47401,Wakkanai,1960,Jul,1960-07-01,15.9
47401,Wakkanai,1960,Aug,1960-08-01,20.8
47401,Wakkanai,1960,Sep,1960-09-01,18.1
47401,Wakkanai,1960,Oct,1960-10-01,9.7
47401,Wakkanai,1960,Nov,1960-11-01,3.3
47401,Wakkanai,1960,Dec,1960-12-01,-3.9
47401,Wakkanai,1961,Jan,1961-01-01,-7.7
47401,Wakkanai,1961,Feb,1961-02-01,-5.3
47401,Wakkanai,1961,Mar,1961-03-01,-1.4
47401,Wakkanai,1961,Apr,1961-04-01,5.5
47401,Wakkanai,1961,May,1961-05-01,8.7
47401,Wakkanai,1961,Jun,1961-06-01,14.7
47401,Wakkanai,1961,Jul,1961-07-01,19.5
47401,Wakkanai,1961,Aug,1961-08-01,20
47401,Wakkanai,1961,Sep,1961-09-01,18.9
47401,Wakkanai,1961,Oct,1961-10-01,10.4
47401,Wakkanai,1961,Nov,1961-11-01,4.1
47401,Wakkanai,1961,Dec,1961-12-01,-1.3
47401,Wakkanai,1962,Jan,1962-01-01,-4.2
47401,Wakkanai,1962,Feb,1962-02-01,-5.4
47401,Wakkanai,1962,Mar,1962-03-01,-2.5
47401,Wakkanai,1962,Apr,1962-04-01,6.7
47401,Wakkanai,1962,May,1962-05-01,10
47401,Wakkanai,1962,Jun,1962-06-01,12.9
47401,Wakkanai,1962,Jul,1962-07-01,16.8
47401,Wakkanai,1962,Aug,1962-08-01,17.7
47401,Wakkanai,1962,Sep,1962-09-01,16.6
47401,Wakkanai,1962,Oct,1962-10-01,9.9
47401,Wakkanai,1962,Nov,1962-11-01,2.6
47401,Wakkanai,1962,Dec,1962-12-01,-1.5
47401,Wakkanai,1963,Jan,1963-01-01,-3.6
47401,Wakkanai,1963,Feb,1963-02-01,-3.7
47401,Wakkanai,1963,Mar,1963-03-01,0.1
47401,Wakkanai,1963,Apr,1963-04-01,5
47401,Wakkanai,1963,May,1963-05-01,10.4
47401,Wakkanai,1963,Jun,1963-06-01,12.4
47401,Wakkanai,1963,Jul,1963-07-01,16.8
47401,Wakkanai,1963,Aug,1963-08-01,17.1
47401,Wakkanai,1963,Sep,1963-09-01,15.6
47401,Wakkanai,1963,Oct,1963-10-01,10.7
47401,Wakkanai,1963,Nov,1963-11-01,4.3
47401,Wakkanai,1963,Dec,1963-12-01,-1.7
47401,Wakkanai,1964,Jan,1964-01-01,-4.5
47401,Wakkanai,1964,Feb,1964-02-01,-7.7
47401,Wakkanai,1964,Mar,1964-03-01,-1.3
47401,Wakkanai,1964,Apr,1964-04-01,3.7
47401,Wakkanai,1964,May,1964-05-01,9.9
47401,Wakkanai,1964,Jun,1964-06-01,11.9
47401,Wakkanai,1964,Jul,1964-07-01,15.3
47401,Wakkanai,1964,Aug,1964-08-01,17.7
