id,recipient,agency_name,year_received,date_received,donor,donor_country,gift_description,value_usd,justification
1,President,NA,1999,NA,"His Excellency Petru Lucinschi, President of the Republic of Moldova",Moldova,"40"" x 29"" gilt framed oil painting of an autumn landscape that depicts a shepherd and goats. Recd--October 20, 1998. Est. Value-- $1500. Archives Foreign.",1500,Non-acceptance would cause embarrassment to donor and U.S. Government
2,President,NA,1999,NA,"His Excellency, Keizo Obuchi, The Prime Minister of Japan and Mrs. Obuchi",Japan,"Six bottles of sake. Recd--November 20, 1998. Est. Value--$72. Accepted by Another Government Agency. Two bonsai trees. One is a 250-year-old Ezo Spruce, $9000. The other is an 80-year- old Trident Maple, $5500. Recd--November 20, 1998. Est. Value-- $14500. Accepted by Another Government Agency.",14500,Non-acceptance would cause embarrassment to donor and U.S. Government
3,President,NA,1999,NA,"Sr. Victor Cervera Pacheco, Governor of Yucatan Mexico",Mexico,"49"" tall wood chair with a black leather seat and carved back splat that depicts the Mexican and American flags, an eagle, a snake, and two hands, and reads ``USA and Mexico.'' Recd-- January 15, 1999. Est. Value--$1000. Archives Foreign.",1000,Non-acceptance would cause embarrassment to donor and U.S. Government
4,President,NA,1999,NA,His Holiness John Paul II,NA,"(1) Rosary with white glass beads and silver- tone crucifix, $15. (2) Three limited edition Vatican coins: bronze, silver, and 22 kt. gold. Each is 44 mm diameter and is decorated with an image of the Pope and Latin text, $1000. Recd--January 26, 1999. Est. Value-- $1015. Archives Foreign.",1015,Non-acceptance would cause embarrassment to donor and U.S. Government
5,President,NA,1999,NA,"His Majesty Juan Carlos I, King of Spain",Spain,"(1) Paperback. ``The Routes of Al- Andalus,'' by various authors, $15. (2) Three hardcover books. ``The Fires of Excellence,'' by Miles Danby, ``The Alhambra in Detail,'' by Aurelio Cid Acedo, and ``American Orientalists,'' by Gerald Ackerman, $45. (3) 38"" x 30"" gilt framed and matted series of four etchings, two depict landscapes and two depict buildings in Spain, $600. Recd-- February 3, 1999. Est. Value--$660. Archives Foreign.",660,Non-acceptance would cause embarrassment to donor and U.S. Government
6,President,NA,1999,NA,"His Excellency Jacques Chirac, President of the French Republic",France,"31"" x 26"" silver-tone framed and double matted antique map circa 1669 of the United States, Canada, and Greenland; sight size 24"" x 18"". Recd-- February 19, 1999. Est. Value--$1200. Archives Foreign.",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
7,President,NA,1999,NA,"His Excellency Massimo D'Alema and Mrs. D'Alema, President of the Council of Ministers of the Italian Republic",Italy,"4"" x 6"" ornate reticulated silver tray. Recd--March 5, 1999. Est. Value-- $1400. Archives Foreign.",1400,Non-acceptance would cause embarrassment to donor and U.S. Government
8,President,NA,1999,NA,"His Excellency Armando Calderon Sol, President of the Republic of El Salvador",El Salvador,"(1) 13"" x 22"" ceramic wall hanging that depicts a boy peeking through a cactus, $185. (2) Paperback. ``Ceramica,'' by Cesar Sermeno, $5. Recd-- March 9, 1999. Est. Value--$190. Archives Foreign. (1) Bottle of Foucher white wine. (2) Bottle of Cousine-Macul cabernet sauvignon. (3) Bottle of Finlandia vodka. (4) Bottle of Johnnie Walker Black Label scotch. (5) Bottle of Corodniu champagne. Recd--March 9, 1999. Est. Value--$120. Accepted by Another Government Agency.",190,Non-acceptance would cause embarrassment to donor and U.S. Government
9,President,NA,1999,NA,"His Excellency Alvaro Arzu Irigoyen, President of the Republic of Guatemala",Guatemala,"(1) 9"" bronze sculpture that depicts hands reaching upward, on a 5"" square black wooden base, $500. (2) Two 11"" x 14"" x 6"" inlaid wooden boxes that contain stationery and a black pen, personalized for the President and First lady, $800. (3) Two cases of refill stationery, $400. Recd--March 10, 1999. Est. Value--$1700. Archives Foreign.",1700,Non-acceptance would cause embarrassment to donor and U.S. Government
10,President,NA,1999,NA,"The Honorable Dr. Vilma R. de Castellanos, Mayor of Tegucigalpa, Tegucigalpa, Honduras",Honduras,"(1) 23"" x 16"" paper scroll honoring the President's visit to Honduras, $25. (2) 7"" long silver key, held in a 14"" x 10"" x 4"" wooden box with blue velvet lining, $400. Recd--March 11, 1999. Est. Value--$425. Archives Foreign.",425,Non-acceptance would cause embarrassment to donor and U.S. Government
